lad_code,de_domain_quantiles
E06000001,1
E06000002,2
E06000003,3
E06000004,1
E06000005,2
E06000006,1
E06000007,1
E06000008,4
E06000009,3
E06000010,3
E06000011,5
E06000012,3
E06000013,1
E06000014,4
E06000015,4
E06000016,5
E06000017,4
E06000018,5
E06000019,5
E06000020,3
E06000021,2
E06000022,5
E06000023,5
E06000024,5
E06000025,3
E06000026,3
E06000027,3
E06000030,3
E06000031,3
E06000032,1
E06000033,3
E06000034,1
E06000035,3
E06000036,1
E06000037,5
E06000038,4
E06000039,1
E06000040,4
E06000041,4
E06000042,2
E06000043,5
E06000044,2
E06000045,4
E06000046,4
E06000047,5
E06000049,4
E06000050,5
E06000051,5
E06000052,5
E06000054,5
E06000055,4
E06000056,2
E06000057,5
E06000058,5
E06000059,5
E07000004,1
E07000005,2
E07000006,4
E07000007,4
E07000008,5
E07000009,3
E07000010,2
E07000011,3
E07000012,3
E07000026,3
E07000027,2
E07000028,3
E07000029,4
E07000030,4
E07000031,4
E07000032,4
E07000033,2
E07000034,3
E07000035,4
E07000036,2
E07000037,2
E07000038,2
E07000039,1
E07000040,4
E07000041,3
E07000042,3
E07000043,4
E07000044,3
E07000045,3
E07000046,3
E07000047,2
E07000061,2
E07000062,4
E07000063,3
E07000064,4
E07000065,2
E07000066,1
E07000067,2
E07000068,3
E07000069,1
E07000070,2
E07000071,1
E07000072,4
E07000073,1
E07000074,2
E07000075,1
E07000076,1
E07000077,2
E07000078,2
E07000079,3
E07000080,4
E07000081,3
E07000082,4
E07000083,2
E07000084,2
E07000085,3
E07000086,3
E07000087,1
E07000088,1
E07000089,1
E07000090,1
E07000091,4
E07000092,1
E07000093,4
E07000094,5
E07000095,1
E07000096,2
E07000098,1
E07000099,3
E07000102,2
E07000103,2
E07000105,3
E07000106,4
E07000107,1
E07000108,4
E07000109,3
E07000110,2
E07000111,4
E07000112,4
E07000113,2
E07000114,4
E07000115,3
E07000116,3
E07000117,1
E07000118,1
E07000119,3
E07000120,3
E07000121,4
E07000122,3
E07000123,5
E07000124,4
E07000125,2
E07000126,3
E07000127,3
E07000128,2
E07000129,1
E07000130,4
E07000131,1
E07000132,1
E07000133,1
E07000134,1
E07000135,2
E07000136,2
E07000137,4
E07000138,2
E07000139,2
E07000140,1
E07000141,1
E07000142,1
E07000143,3
E07000144,1
E07000145,1
E07000146,2
E07000147,4
E07000148,4
E07000149,2
E07000150,1
E07000151,3
E07000152,4
E07000153,1
E07000154,1
E07000155,3
E07000156,2
E07000163,3
E07000164,4
E07000165,5
E07000166,3
E07000167,4
E07000168,3
E07000169,1
E07000170,1
E07000171,2
E07000172,2
E07000173,4
E07000174,1
E07000175,3
E07000176,2
E07000177,4
E07000178,5
E07000179,2
E07000180,2
E07000181,2
E07000187,4
E07000188,1
E07000189,2
E07000192,1
E07000193,1
E07000194,3
E07000195,1
E07000196,1
E07000197,4
E07000198,2
E07000199,1
E07000200,1
E07000202,2
E07000203,3
E07000207,4
E07000208,4
E07000209,5
E07000210,3
E07000211,2
E07000212,2
E07000213,1
E07000214,3
E07000215,4
E07000216,4
E07000217,3
E07000218,2
E07000219,1
E07000220,2
E07000221,3
E07000222,4
E07000223,3
E07000224,1
E07000225,3
E07000226,1
E07000227,2
E07000228,4
E07000229,4
E07000234,3
E07000235,4
E07000236,1
E07000237,2
E07000238,3
E07000239,4
E07000240,3
E07000241,3
E07000242,4
E07000243,1
E07000244,4
E07000245,3
E07000246,4
E08000001,1
E08000002,1
E08000003,5
E08000004,5
E08000005,2
E08000006,5
E08000007,5
E08000008,1
E08000009,5
E08000010,2
E08000011,1
E08000012,5
E08000013,2
E08000014,3
E08000015,5
E08000016,2
E08000017,1
E08000018,3
E08000019,5
E08000021,5
E08000022,4
E08000023,2
E08000024,2
E08000025,5
E08000026,2
E08000027,3
E08000028,3
E08000029,1
E08000030,2
E08000031,2
E08000032,5
E08000033,4
E08000034,5
E08000035,5
E08000036,1
E08000037,4
E09000002,2
E09000003,5
E09000004,4
E09000005,5
E09000006,5
E09000007,5
E09000008,5
E09000009,5
E09000010,5
E09000011,5
E09000012,5
E09000013,5
E09000014,5
E09000015,5
E09000016,2
E09000017,5
E09000018,4
E09000019,5
E09000020,5
E09000021,5
E09000022,5
E09000023,5
E09000024,5
E09000025,5
E09000026,5
E09000027,5
E09000028,5
E09000029,5
E09000030,5
E09000031,4
E09000032,5
E09000033,5
