lad_code,de_domain_score,de_domain_rank,de_domain_quantiles
E06000001,2.8763927489831103,19,1
E06000002,1.4392823988588155,63,3
E06000003,-0.2351701512369555,173,6
E06000004,1.8871176533288243,46,2
E06000005,0.9736689284751137,83,3
E06000006,5.265912416497671,4,1
E06000007,1.5835356125541413,54,2
E06000008,-0.5272210936362443,193,7
E06000009,0.4251669596790644,124,5
E06000010,-0.10669778698035792,162,6
E06000011,-1.6496287754015313,252,9
E06000012,0.011769643175407535,149,5
E06000013,2.2284961526285008,38,2
E06000014,-0.7031928362112349,209,7
E06000015,-0.7577810658263443,214,7
E06000016,-1.6670621745380614,255,9
E06000017,-0.7402602478722249,211,7
E06000018,-2.0575646900017377,265,9
E06000019,-2.01564917784139,264,9
E06000020,0.10197645144017062,140,5
E06000021,0.4940238024130478,116,4
E06000022,-1.61052199936666,251,9
E06000023,-3.7963045141950373,302,10
E06000024,-1.6908474632641517,256,9
E06000025,0.027774402061177317,146,5
E06000026,-0.017133697160758188,152,5
E06000027,-0.07797511623649725,161,6
E06000030,0.3544984225656871,129,5
E06000031,-0.31349705862439997,178,6
E06000032,1.844526832864929,49,2
E06000033,0.16994735954896428,138,5
E06000034,2.8606192449705317,20,1
E06000035,0.3753657266149661,127,5
E06000036,1.8207229111593626,50,2
E06000037,-1.4037020302917904,244,8
E06000038,-0.6718023628360537,207,7
E06000039,3.074898916907542,18,1
E06000040,-1.0175979960122572,225,8
E06000041,-0.741571324058539,212,7
E06000042,1.3438757433308388,66,3
E06000043,-2.3275563655115903,267,9
E06000044,0.9043952748070205,87,3
E06000045,-0.42049860758446633,185,7
E06000046,-1.3194100441402146,238,8
E06000047,-2.9916561424776007,286,10
E06000049,-1.3468258513356117,241,8
E06000050,-2.1913204320833874,266,9
E06000051,-2.4188632319895316,268,9
E06000052,-4.558565068726681,306,10
E06000054,-2.835504061611254,284,10
E06000055,-0.5913672707271167,200,7
E06000056,1.306919279783743,69,3
E06000057,-2.7307353349085357,279,10
E06000058,-2.675808844132692,276,9
E06000059,-2.4492767124433343,269,9
E06000060,-2.5868937917430403,273,9
E06000061,0.6053689308092239,107,4
E06000062,0.03793781212530023,145,5
E07000008,-1.4921213897533625,248,9
E07000009,-0.26774579193396414,174,6
E07000010,1.4548034159082228,62,2
E07000011,-0.2013202159092999,170,6
E07000012,0.20635952889843406,137,5
E07000026,-0.017784182823538552,153,5
E07000027,1.252278615777711,74,3
E07000028,0.32310600947820045,130,5
E07000029,-0.5732202005338201,198,7
E07000030,-0.9525791833905415,219,8
E07000031,-0.9677425910564557,220,8
E07000032,-0.5461818654443,196,7
E07000033,1.1888907575693752,75,3
E07000034,0.16830767844247962,139,5
E07000035,-1.2548069701279503,237,8
E07000036,0.7343741709381535,98,4
E07000037,1.0937927228319484,77,3
E07000038,0.5289638022377328,112,4
E07000039,2.22091950164625,40,2
E07000040,-1.1442401498214698,229,8
E07000041,0.05323789457627098,144,5
E07000042,-0.04186138930210573,157,6
E07000043,-0.975042579130294,222,8
E07000044,-0.11359018766853055,163,6
E07000045,-0.3473151115080029,181,6
E07000046,0.02274166333284701,147,5
E07000047,0.6825515476369025,102,4
E07000061,1.2798026788889783,72,3
E07000062,-1.3278983548495686,239,8
E07000063,-0.21636308164366597,171,6
E07000064,-0.5004024579131048,190,7
E07000065,0.8423346111995768,91,3
E07000066,5.698973398717009,3,1
E07000067,0.7726983803446346,93,4
E07000068,-0.12212301809451531,165,6
E07000069,7.532140173322442,1,1
E07000070,0.5149641705012336,114,4
E07000071,1.6997009906470832,53,2
E07000072,-0.44175468687929853,187,7
E07000073,2.7288357679224284,22,1
E07000074,1.2723792536399525,73,3
E07000075,4.017165167834212,7,1
E07000076,1.9936575801434837,45,2
E07000077,0.42862992504726927,122,4
E07000078,1.0716001781081588,79,3
E07000079,-0.12709144150472995,166,6
E07000080,-0.596169108614316,201,7
E07000081,0.021262624593112567,148,5
E07000082,-0.6185308967831484,202,7
E07000083,0.991757686755396,82,3
E07000084,1.5601512726060933,56,2
E07000085,0.30108739165258047,132,5
E07000086,-0.26929754925031446,175,6
E07000087,2.526276284541026,25,1
E07000088,2.519133981973855,26,1
E07000089,3.5424873951467015,12,1
E07000090,4.4270465425487115,6,1
E07000091,-0.7541361500476489,213,7
E07000092,2.3252133427822153,34,2
E07000093,-0.3612273291126141,182,6
E07000094,-1.481152027852286,247,9
E07000095,3.143540646473676,14,1
E07000096,0.852312898429913,90,3
E07000098,2.2695300384786505,37,2
E07000099,0.25025306141213977,135,5
E07000102,1.0299115181196359,81,3
E07000103,1.3718977206136092,65,3
E07000105,0.00795046515301627,150,5
E07000106,-0.6464981884750911,204,7
E07000107,1.566969535266172,55,2
E07000108,-1.3927182134222875,242,8
E07000109,-0.06866253350869181,160,6
E07000110,1.324037103806785,67,3
E07000111,-0.4716888706256943,189,7
E07000112,-0.5444039533012529,195,7
E07000113,0.743566149112311,96,4
E07000114,-1.0019797406600974,223,8
E07000115,-0.16673201810203628,168,6
E07000116,0.42663777072713105,123,4
E07000117,2.35765482116314,32,2
E07000118,1.7731640341388402,51,2
E07000119,0.3995677484506866,125,5
E07000120,0.30303918919144046,131,5
E07000121,-1.0863042147741542,227,8
E07000122,-0.05158955659940154,159,6
E07000123,-1.4200181957935654,245,8
E07000124,-0.7590010675275466,215,7
E07000125,0.7064092418497778,100,4
E07000126,-0.04025450352168941,156,6
E07000127,0.266109156242572,133,5
E07000128,0.5110073064660796,115,4
E07000129,3.5950163034329217,10,1
E07000130,-0.45820596613836617,188,7
E07000131,1.8813386631341822,47,2
E07000132,3.6881982300900478,9,1
E07000133,2.4917975313754024,27,1
E07000134,1.5513133780282529,57,2
E07000135,1.2870470826467133,71,3
E07000136,0.9250215453044215,86,3
E07000137,-0.8693033796251125,216,8
E07000138,0.8320859856186793,92,3
E07000139,0.6354948301673505,106,4
E07000140,2.2251272420443007,39,2
E07000141,2.5510237149335175,23,1
E07000142,2.0512142374778497,44,2
E07000143,-0.026854581401679456,155,6
E07000144,2.547443763369901,24,1
E07000145,3.80445731421251,8,1
E07000146,1.318676403148015,68,3
E07000147,-0.5378199752931166,194,7
E07000148,-1.191901648864735,231,8
E07000149,1.0612076566235693,80,3
E07000163,0.09618581909027421,141,5
E07000164,-0.89680622895415,217,8
E07000165,-1.4432464301636492,246,9
E07000166,-0.2903601702837818,176,6
E07000167,-0.5469979030672188,197,7
E07000168,-0.22775748791318037,172,6
E07000169,1.4902742355416758,61,2
E07000170,2.482582457695024,28,1
E07000171,0.7712098286217012,94,4
E07000172,0.4393980880832915,120,4
E07000173,-0.5822912983114752,199,7
E07000174,1.5343080713281796,59,2
E07000175,0.08353952866374617,143,5
E07000176,0.7547734772391094,95,4
E07000177,-0.7348976649694006,210,7
E07000178,-1.7222247110007465,258,9
E07000179,1.1178483833160833,76,3
E07000180,0.5285544192180535,113,4
E07000181,0.7160182348404253,99,4
E07000187,-0.9055084478391698,218,8
E07000188,2.3099277634563915,35,2
E07000189,0.5415735596675086,109,4
E07000192,3.0815499529074337,17,1
E07000193,2.421312340752075,31,1
E07000194,0.35865823479679737,128,5
E07000195,3.463915428738193,13,1
E07000196,3.5782210573800457,11,1
E07000197,-0.5154836265316354,191,7
E07000198,0.6999481967528094,101,4
E07000199,2.0722262635758426,42,2
E07000200,2.46921959519988,29,1
E07000202,0.5304696836287902,111,4
E07000203,-0.3202125723194691,180,6
E07000207,-1.0503538254973683,226,8
E07000208,-0.5174543338930394,192,7
E07000209,-1.6517522137040574,253,9
E07000210,-0.1140042985461894,164,6
E07000211,0.5859109004635055,108,4
E07000212,0.4440001112102352,118,4
E07000213,2.341993868182436,33,2
E07000214,0.4332192900180729,121,4
E07000215,-0.6711757612799283,206,7
E07000216,-1.4034571783503937,243,8
E07000217,-0.38245787252242525,183,6
E07000218,0.4422695748198442,119,4
E07000219,1.5305873869725908,60,2
E07000220,0.6747145609173545,104,4
E07000221,-0.39187981214075146,184,6
E07000222,-1.2426308269733013,235,8
E07000223,-0.1436335291143241,167,6
E07000224,2.0877185017186677,41,2
E07000225,-0.30521462722708614,177,6
E07000226,3.094465973439634,15,1
E07000227,0.6786662084220764,103,4
E07000228,-1.094598028769251,228,8
E07000229,-1.1817696107485687,230,8
E07000234,-0.0183975376416865,154,6
E07000235,-0.6794002406676125,208,7
E07000236,6.5610612440650495,2,1
E07000237,0.8599682333700732,89,3
E07000238,0.08621994973160801,142,5
E07000239,-1.2288623579189737,233,8
E07000240,-0.3195863941980753,179,6
E07000241,-0.042855805427721244,158,6
E07000242,-0.4380033366419819,186,7
E07000243,4.4648336766197225,5,1
E07000244,-0.9744995470184976,221,8
E07000245,0.226303886836947,136,5
E07000246,-1.014032002212474,224,8
E08000001,1.7347996960407754,52,2
E08000002,2.3008602338166653,36,2
E08000003,-3.750010263145647,300,10
E08000004,-1.6640062652517698,254,9
E08000005,0.9379296867356651,85,3
E08000006,-1.743500304381081,259,9
E08000007,-2.699606394450259,277,10
E08000008,1.8608482518420288,48,2
E08000009,-1.7720524217298985,260,9
E08000010,0.9621960624597582,84,3
E08000011,2.732036423230709,21,1
E08000012,-3.3615122501380355,295,10
E08000013,1.3948552100192317,64,3
E08000014,-0.006798463162181689,151,5
E08000015,-1.8644249374680995,262,9
E08000016,0.4779220520356116,117,4
E08000017,2.4272455424639157,30,1
E08000018,0.3781418790112865,126,5
E08000019,-3.7954809966358023,301,10
E08000021,-2.982638220684037,285,10
E08000022,-1.233747792947343,234,8
E08000023,1.3062458723685753,70,3
E08000024,0.7402564784175508,97,4
E08000025,-4.97727618231201,307,10
E08000026,1.535173126230286,58,2
E08000027,0.2521926227914776,134,5
E08000028,-0.1827256132353382,169,6
E08000029,2.055555947996598,43,2
E08000030,0.5408974626512366,110,4
E08000031,1.079618741591384,78,3
E08000032,-3.658075064340301,298,10
E08000033,-0.6614241257940255,205,7
E08000034,-3.154310811709565,288,10
E08000035,-3.8052755978419386,303,10
E08000036,3.0913842407144605,16,1
E08000037,-1.333552511570968,240,8
E09000002,0.6571317887607064,105,4
E09000003,-3.1737205003427182,289,10
E09000004,-1.1964321480339215,232,8
E09000005,-3.441131037603356,297,10
E09000006,-1.5839166773073,250,9
E09000007,-3.399131149264449,296,10
E09000008,-2.71014708599393,278,10
E09000009,-3.1032957462422432,287,10
E09000010,-2.7319102538903355,280,10
E09000011,-2.764716379854462,282,10
E09000012,-3.6796719617848748,299,10
E09000013,-2.574874726229214,272,9
