lad_code,capacity_domain_score,capacity_domain_rank,capacity_domain_quantiles
S12000005,0.10102352213725801,16,5
S12000006,0.4394983089173637,10,3
S12000008,0.8941093854940247,4,1
S12000010,-0.9818765585986337,30,10
S12000011,-0.5925683035563956,26,9
S12000013,-0.8942500324219878,28,9
S12000014,0.822197305329336,5,2
S12000017,-0.3236871142634497,21,7
S12000018,1.2207704236885402,1,1
S12000019,0.4199170929889271,12,4
S12000020,-0.4889241368685088,24,8
S12000021,1.1255021785944352,2,1
S12000023,-1.0753810123652683,31,10
S12000026,-1.0936613074007935,32,10
S12000027,-0.7406472470762548,27,9
S12000028,0.6233746492104765,6,2
S12000029,0.45761892801761395,9,3
S12000030,-0.5658252029000023,25,8
S12000033,0.08162181753508571,17,6
S12000034,-0.29606916400277017,19,6
S12000035,-0.9198907525190455,29,10
S12000036,-0.4754363526185804,23,8
S12000038,0.5518017563073268,7,2
S12000039,0.4248551875909008,11,4
S12000040,-0.06909576691652992,18,6
S12000041,0.3963454239709914,13,4
S12000042,-0.30556649516319945,20,7
S12000045,0.19037784687911885,14,5
S12000047,0.5140999212786399,8,3
S12000048,-0.4569794178928369,22,7
S12000049,0.12108744389124296,15,5
S12000050,0.8956576727329753,3,1
