lad_code,de_domain_score,de_domain_rank,de_domain_quantiles
W06000001,0.36833408541772217,8,4
W06000002,-1.4979495156962055,19,9
W06000003,1.525458690545935,6,3
W06000004,-1.6836508341914556,20,10
W06000005,3.79106530355387,1,1
W06000006,1.7571422963745467,5,2
W06000008,-0.941702141288472,15,7
W06000009,0.35561941162588495,9,4
W06000010,-0.4088486992576733,11,5
W06000011,-0.6944927236965079,12,6
W06000012,-0.8199637020766061,13,6
W06000013,-0.03521783645913695,10,5
W06000014,-1.0669407364429861,16,8
W06000015,-1.2373421664583917,18,9
W06000016,-1.9931734491413597,21,10
W06000018,1.8904573598709788,4,2
W06000019,-3.4014227734541764,22,10
W06000020,1.0339175983637752,7,3
W06000021,2.4269459115311682,3,1
W06000022,-1.163795025181533,17,8
W06000023,2.7061663163064242,2,1
W06000024,-0.9106073702458007,14,7
