Trust,LAD19CD
Airedale NHS Foundation Trust,E08000032
Airedale NHS Foundation Trust,E07000163
Alder Hey Children's NHS Foundation Trust,E08000012
Ashford and St Peter's Hospitals NHS Foundation Trust,E07000213
Ashford and St Peter's Hospitals NHS Foundation Trust,E07000210
Ashford and St Peter's Hospitals NHS Foundation Trust,E07000208
Ashford and St Peter's Hospitals NHS Foundation Trust,E07000216
Ashford and St Peter's Hospitals NHS Foundation Trust,E07000209
Ashford and St Peter's Hospitals NHS Foundation Trust,E06000060
Ashford and St Peter's Hospitals NHS Foundation Trust,E07000212
Ashford and St Peter's Hospitals NHS Foundation Trust,E09000027
Ashford and St Peter's Hospitals NHS Foundation Trust,E09000033
Ashford and St Peter's Hospitals NHS Foundation Trust,E07000217
Avon and Wiltshire Mental Health Partnership NHS Trust,E06000023
Avon and Wiltshire Mental Health Partnership NHS Trust,E06000022
Avon and Wiltshire Mental Health Partnership NHS Trust,E06000024
Avon and Wiltshire Mental Health Partnership NHS Trust,E06000054
"Barking, Havering and Redbridge University Hospitals NHS Trust",E09000002
"Barking, Havering and Redbridge University Hospitals NHS Trust",E07000066
"Barking, Havering and Redbridge University Hospitals NHS Trust",E09000026
"Barking, Havering and Redbridge University Hospitals NHS Trust",E07000068
"Barking, Havering and Redbridge University Hospitals NHS Trust",E09000016
"Barking, Havering and Redbridge University Hospitals NHS Trust",E06000033
"Barking, Havering and Redbridge University Hospitals NHS Trust",E07000070
"Barking, Havering and Redbridge University Hospitals NHS Trust",E09000010
"Barking, Havering and Redbridge University Hospitals NHS Trust",E09000033
"Barnet, Enfield and Haringey Mental Health NHS Trust",E09000010
"Barnet, Enfield and Haringey Mental Health NHS Trust",E09000003
"Barnet, Enfield and Haringey Mental Health NHS Trust",E09000015
Barnsley Hospital NHS Foundation Trust,E08000016
Barts Health NHS Trust,E09000025
Barts Health NHS Trust,E09000030
Barts Health NHS Trust,E09000001
Barts Health NHS Trust,E09000026
Barts Health NHS Trust,E09000031
Bedford Hospital NHS Trust,E06000055
Bedford Hospital NHS Trust,E06000032
Berkshire Healthcare NHS Foundation Trust,E07000084
Berkshire Healthcare NHS Foundation Trust,E07000214
Berkshire Healthcare NHS Foundation Trust,E06000040
