MSOA11CD,Number of fires (three-year average),Proportion of fire incidents per person
E02000001,5,6.184291898577613e-4
E02000002,7.666666666666666,9.9116569704805e-4
E02000003,9,0.0012425790418334943
E02000004,4,8.37696335078534e-4
E02000005,6.5,7.567819303760624e-4
E02000007,8.5,8.459394904458599e-4
E02000008,9.5,7.50276417627547e-4
E02000009,8.666666666666666,0.001006932341892258
E02000010,10,0.0010864841373315949
E02000011,7.5,0.0010723477266228196
E02000012,10,8.856611460455229e-4
E02000013,6.833333333333334,7.636715839666221e-4
E02000014,8.333333333333334,8.376051194424901e-4
E02000015,9.666666666666666,0.0011803011803011802
E02000016,7.166666666666667,7.151648205435253e-4
E02000017,10.333333333333334,0.0011141060197663972
E02000018,9.333333333333334,9.672850381732132e-4
E02000019,6.333333333333333,8.648550229869361e-4
E02000020,12.833333333333332,9.609384749781604e-4
E02000021,6.5,9.009009009009009e-4
E02000022,11.833333333333334,0.0014460874170027292
E02000023,8.333333333333334,0.0010385510136257893
E02000024,8,8.48716316571186e-4
E02000025,9.166666666666666,0.0010981989537159058
E02000026,4.333333333333333,8.990318118948824e-4
E02000027,8.833333333333334,0.0010906696299954727
E02000028,5.666666666666667,8.322318500024478e-4
E02000029,7.5,7.935668183261031e-4
E02000030,7.5,8.11600476138946e-4
E02000031,7.333333333333333,0.0011362462555521123
E02000033,10.5,0.0011793777378411772
E02000034,5.5,7.356875334403424e-4
E02000035,7.166666666666666,7.895413315706363e-4
E02000036,9.833333333333334,8.444253613854301e-4
E02000037,11.166666666666666,0.0010582512004043466
E02000038,8.666666666666666,7.550018875047187e-4
E02000039,6.5,8.95933838731909e-4
E02000040,6.5,7.690487458589683e-4
E02000041,8.666666666666666,8.637299847186233e-4
E02000042,10.333333333333334,9.89688088624972e-4
E02000043,4.333333333333333,6.579613321186354e-4
E02000044,5.333333333333334,7.594095590678249e-4
E02000045,8.666666666666666,7.91837977767626e-4
E02000046,4,6.830601092896175e-4
E02000047,10,9.559315553006405e-4
E02000048,7.5,7.004763239002522e-4
E02000049,9.166666666666666,9.67356127761362e-4
E02000050,7,9.225092250922509e-4
E02000051,9.833333333333334,9.960831982712048e-4
E02000052,12,0.0011306887779138793
E02000053,7.166666666666666,6.032547699214365e-4
E02000054,5.333333333333333,6.97350069735007e-4
E02000055,14,0.001167250291812573
E02000056,9,9.366219169528567e-4
E02000057,8.333333333333334,0.0010206164523372118
E02000058,9,9.524817440999048e-4
E02000059,7.333333333333333,7.279465290185957e-4
E02000060,13.833333333333334,0.0011198359372891875
E02000061,10.833333333333334,0.0011807447774750228
E02000062,6.666666666666666,0.0012564392511622063
E02000063,4.5,5.656819610307982e-4
E02000064,5,7.218131947452e-4
E02000065,5.666666666666667,6.330763788031133e-4
E02000066,10.833333333333334,0.0010639690957899562
E02000067,8.166666666666666,7.812001785600408e-4
E02000068,9.166666666666666,0.0011174773456865373
E02000069,6,8.681811604688178e-4
E02000070,3.833333333333333,7.368960656157887e-4
E02000071,5.5,8.721852204249921e-4
E02000072,14,0.0010737019710100467
E02000073,4.5,6.717420510523958e-4
E02000074,9.166666666666666,0.0010557027141157049
E02000075,5,7.647598654022637e-4
E02000077,5.666666666666667,8.373971725530762e-4
E02000078,5.5,8.712181213369238e-4
E02000079,5,7.015574575557738e-4
E02000080,7.5,7.254788160185723e-4
E02000081,5,7.733952049497294e-4
E02000082,5,8.269930532583526e-4
E02000083,8.5,7.347856154910097e-4
E02000084,5.5,6.97084917617237e-4
E02000085,5.5,6.837394331178519e-4
E02000086,4.5,7.467640225688682e-4
