LSOA11CD,No. people in flood risk areas,% people in flood risk areas
95AA02W1,492,0.27749576988155666
95AA08W1,316,0.18234275822273513
95AA09W1,2336,0.9898305084745763
95AA11S1,1114,0.39728958630527816
95AA11S2,2735,0.9572978648932446
95AA15S1,1449,0.47508196721311474
95AA15S2,1127,0.6178728070175439
95AA16W1,1817,1.0044223327805417
95AA17W1,723,0.35302734375
95BB02W1,1925,0.7572777340676633
95BB04S1,1417,0.9929922915206727
95BB04S2,807,0.4287991498405951
95BB06W1,2937,1.000340599455041
95BB12S1,1598,0.9626506024096385
95BB13S1,1036,0.76008804108584
95BB13S2,1424,1.003523608174771
95BB13S3,1454,1.0203508771929826
95BB17S1,1711,1.004697592483852
95BB17S2,1150,0.5989583333333334
95BB19S1,1870,0.9729448491155047
95BB19S2,355,0.18753301637612255
95BB19S3,1300,0.9900990099009901
95BB22S2,655,0.41693189051559515
95BB23S1,901,0.5272088940901112
95DD01W1,283,0.13852178169358786
95DD03W1,1387,0.3703604806408545
95DD04W1,1956,0.978
95DD05W1,586,0.3463356973995272
95DD06W1,2576,0.9709762532981531
95DD08W1,2598,1.0050290135396518
95DD11W1,2552,1.0090945037564254
95DD13W1,1990,0.9489747257987602
95DD18W1,1875,0.8442143178748311
95DD20W1,1783,0.9867183176535694
95DD21W1,2307,0.9918314703353397
95DD24W1,2731,1.0111069974083673
95FF01S1,2206,0.9696703296703296
95FF01S2,277,0.08718917217500786
95FF03W1,2811,0.8770670826833074
95FF07W1,2521,0.9042324246771879
95FF08W1,1559,0.6719827586206897
95FF16W1,907,0.37728785357737105
95FF17W1,1682,0.9650028686173264
95GG01S1,1653,1.0279850746268657
95GG01S2,1414,1.0165348670021568
95GG01S3,1577,1.0089571337172105
95GG02S1,1650,0.9933774834437086
95GG02S2,1934,1.0041536863966771
95GG02S3,2310,0.9982713915298185
95GG03S1,1994,1.0225641025641026
95GG03S2,1797,1.004471771939631
95GG03S3,2105,1.0014272121788772
95GG04S1,1679,1.0138888888888888
95GG04S2,1592,1.0025188916876575
95GG04S3,1791,1.0011179429849077
95GG05S1,1787,0.990027700831025
95GG05S2,2003,0.9857283464566929
95GG05S3,2183,1.0009170105456213
95GG06S1,1908,0.9814814814814815
95GG06S2,1809,1
95GG06S3,1266,0.6295375435106912
95GG07S1,1839,0.9855305466237942
95GG07S2,1932,0.9974186886938565
95GG07S3,1640,0.9791044776119403
95GG09S1,2129,0.9943951424567959
95GG09S2,1847,1.0048966267682264
95GG09S3,2243,1.0121841155234657
95GG10S1,1964,0.9437770302739068
95GG10S2,2439,0.9914634146341463
95GG11S1,1960,1.0139679255043974
95GG11S2,1666,1.0030102347983143
95GG11S3,1837,1.021690767519466
95GG12S1,1485,1.0122699386503067
95GG12S2,2346,0.9698222405952873
95GG12S3,2465,0.9404807325448302
95GG12S4,1935,0.9917990773962071
95GG12S5,2544,0.9953051643192489
95GG13S1,1342,0.9817117776152158
95GG13S2,1346,0.790834312573443
95GG13S3,1632,0.9813589897775106
95GG14S1,1296,0.8
95GG14S2,1549,0.9693366708385481
95GG14S3,1013,0.6264687693259122
95GG15S1,1957,1.0198019801980198
95GG15S2,2039,0.9975538160469667
95GG15S3,1958,1.0155601659751037
95GG16S1,2072,0.9746001881467544
95GG16S2,1918,1.011603375527426
95GG16S3,1436,0.9855868222374743
95GG17S1,2246,1.0040232454179705
95GG17S2,1496,0.9986648865153538
95GG17S3,1759,1.0005688282138794
95GG18S1,2565,0.976027397260274
95GG18S2,2535,1.0019762845849802
95GG19S1,1978,0.9959718026183283
95GG19S2,2830,0.9888190076869322
95GG20S1,2460,0.7423053711526856
95GG20S2,2191,0.9900587437867149
95GG21S1,1456,1.009009009009009
95GG21S2,1724,0.9948066935949221
95GG21S3,2057,0.9652745190051619
95GG22S1,1681,1.0071899340922708
95GG22S2,1873,1.003213711837172
95GG22S3,1693,1.0143798681845417
