LAD19CD,LA spending power rank,Volunteer rank,Emergency response rank,Capacity score,Capacity rank,Capacity decile,Capacity quintile
E07000223,142,125.5,220,51.444934820790955,137,5,3
E07000026,239,260,269.5,112.23477164604283,287,10,5
E07000032,295,260,212,121.73920812875808,294,10,5
E07000224,215,125.5,220,63.57339085022851,186,6,3
E07000170,293,125.5,137.5,80.90648719124563,226,8,4
E07000105,229,125.5,125,51.51464669865008,138,5,3
E07000004,217,125.5,278,83.92714997623236,239,8,4
E07000200,269,125.5,313,140.92884910397052,309,10,5
E09000002,84,260,26,47.19401731580662,109,4,2
E09000003,105,125.5,26,22.320096142720093,31,1,1
E08000016,61,260,125,54.494477847098665,153,5,3
E07000027,131,260,269.5,92.7676482305108,260,9,5
E07000066,147,125.5,184.5,45.12003685068689,95,4,2
E07000084,307,24.5,110,84.76003946898352,241,8,4
E07000171,262,260,137.5,90.39473317033921,255,9,5
E06000022,110,125.5,154.5,36.069205800105884,61,2,1
E06000055,37,125.5,148,28.325647151422416,46,2,1
E09000004,115,260,26,50.43103566395086,128,5,3
E08000025,50,260,46,45.719670724778304,100,4,2
E07000129,241,260,162,86.61414794227093,247,8,4
E06000008,38,260,71.5,46.9656364656109,108,4,2
E06000009,4,260,71.5,44.34854997896539,88,3,2
E07000033,187,260,212,83.39057367272994,234,8,4
E08000001,64,260,59.5,48.10522365105094,114,4,2
E07000136,164,260,249,89.35838236809033,252,8,4
E06000058,123,125.5,225.5,50.41327178973372,127,5,3
E06000036,108,125.5,148,34.96596240465932,60,2,1
E08000032,73,260,91,51.89066203535036,141,5,3
E07000067,290,125.5,184.5,85.3373609938594,244,8,4
E07000143,309,260,202,138.43883578365694,307,10,5
E09000005,52,125.5,26,17.254774362539358,21,1,1
E07000068,190,125.5,184.5,51.686832127414434,139,5,3
E06000043,58,125.5,85.5,22.973618936568116,32,2,1
E06000023,55,125.5,154.5,30.721798485399646,51,2,1
E07000144,300,125.5,202,97.7916799022133,274,9,5
E09000006,118,125.5,26,23.753733828243085,36,2,1
E07000234,166,125.5,291.5,83.57101218629211,236,8,4
E07000095,310,125.5,98.5,99.1160557586218,275,9,5
E07000172,311,125.5,137.5,105.95873006975606,280,9,5
E07000117,124,260,71.5,55.32828778924536,158,6,3
E08000002,91,125.5,59.5,23.651183447666256,35,2,1
E08000033,81,260,91,52.64753367965416,144,5,3
E07000008,125,125.5,307.5,96.9708392421964,270,9,5
E09000007,7,125.5,26,13.686378772263538,11,1,1
E07000192,213,260,241,95.5699060745259,268,9,5
E07000106,243,125.5,125,55.35102268222675,159,6,3
E07000028,186,260,269.5,100.67113155975736,277,9,5
E07000069,174,260,184.5,76.0358108338678,218,7,4
E06000056,93,125.5,148,33.39451261036028,57,2,1
E07000130,292,125.5,162,83.38697501892517,233,8,4
E07000070,167,24.5,184.5,38.32917316456073,67,3,2
E07000078,193,24.5,278,69.50072696360864,201,7,4
E07000177,188,125.5,302,97.62268334027999,272,9,5
E06000049,75,125.5,202,40.299183397280956,71,3,2
E06000050,54,24.5,202,28.79437711020446,47,2,1
E07000034,303,260,212,130.5544249659301,303,10,5
E07000225,231,125.5,220,67.37081293994363,194,7,4
E07000005,221,24.5,278,75.22273039722214,217,7,4
E07000118,220,260,71.5,70.7916176249728,204,7,4
E07000071,237,125.5,184.5,61.99399418011417,183,6,3
E07000029,252,260,269.5,116.25149462676461,291,10,5
E07000150,184,260,232,87.5821184268167,249,8,4
E06000052,28,125.5,317,119.7871438360605,292,10,5
E07000079,153,24.5,278,63.208714844759356,184,6,3
E08000026,95,260,46,49.91088883718861,123,4,2
E07000163,204,125.5,291.5,90.08209675176772,254,9,5
E07000226,183,125.5,220,57.461453879947,168,6,3
E09000008,69,125.5,26,18.761314324186852,24,1,1
E07000096,228,125.5,98.5,48.334702758396425,115,4,2
E06000005,56,260,142.5,56.216088570370005,164,6,3
E07000107,133,125.5,125,34.965493614640884,59,2,1
E07000151,137,24.5,232,44.13011075362578,84,3,2
E06000015,88,125.5,212,43.58691298624794,81,3,2
E07000035,159,125.5,212,51.98398474702021,142,5,3
E08000017,70,260,125,55.30751351495731,157,6,3
E07000108,208,260,125,73.76115556940573,214,7,4
E08000027,87,260,46,49.107762262642275,119,4,2
E06000047,43,125.5,142.5,28.09487659585485,45,2,1
E09000009,74,125.5,26,19.223868533339758,28,1,1
E07000009,299,125.5,307.5,148.10124950384773,312,10,5
E07000040,238,125.5,259.5,80.79103476706571,224,8,4
E06000059,316,125.5,225.5,139.33326950074772,308,10,5
E07000085,264,125.5,110,60.957755007498335,176,6,3
E07000137,211,125.5,249,70.57978573890414,203,7,4
E07000152,266,24.5,232,72.16332059673411,209,7,4
E06000011,79,260,80.5,51.42540829590134,136,5,3
E07000193,226,125.5,241,71.52923097860035,205,7,4
E07000061,157,260,85.5,60.89863487156293,175,6,3
E07000086,285,125.5,110,71.73641656369547,206,7,4
E07000030,135,125.5,269.5,66.24314797675981,193,7,4
E07000207,144,24.5,172,33.0829210729937,55,2,1
E09000010,98,260,26,48.59978349228931,116,4,2
E07000072,270,125.5,184.5,73.62745727403839,213,7,4
E07000208,234,125.5,172,59.150871924403845,171,6,3
E07000036,298,125.5,212,97.6472574107578,273,9,5
E07000041,268,125.5,259.5,91.24631864530897,257,9,5
E07000087,304,125.5,110,89.64066089224823,253,9,5
E07000010,156,260,307.5,127.96621336797759,298,10,5
E07000245,315,260,313,220.83664456770063,316,10,5
E07000080,250,125.5,278,92.79708395942451,261,9,5
E07000119,152,125.5,71.5,31.855092631154637,52,2,1
E07000173,306,125.5,137.5,95.91195325791954,269,9,5
E07000081,276,24.5,278,93.83706403829272,263,9,5
E07000088,248,260,110,82.20533316108497,229,8,4
E07000109,263,260,125,89.27115210250847,251,8,4
E07000145,201,260,202,83.9117413805312,238,8,4
E09000011,29,125.5,26,15.36190684672792,16,1,1
E07000209,291,24.5,172,74.47175017257712,216,7,4
E09000012,11,260,26,40.998242540232184,74,3,2
E06000006,34,125.5,202,36.74203086704608,62,2,1
E07000164,282,260,291.5,142.71441812935444,310,10,5
E09000013,23,125.5,26,14.892706911770599,15,1,1
E07000131,182,24.5,162,37.17007334168472,64,3,2
E09000014,39,125.5,26,16.16582504368871,18,1,1
E07000073,134,260,184.5,70.47091887738097,202,7,4
E07000165,140,125.5,291.5,79.98567125352572,223,8,4
E09000015,86,260,26,47.389656709294094,112,4,2
E07000089,191,125.5,110,41.79483364005514,77,3,2
E06000001,12,125.5,7.5,12.653628545682963,5,1,1
E07000062,143,260,85.5,59.00487189478403,169,6,3
E07000090,256,260,110,84.90924597115358,242,8,4
E09000016,112,260,26,50.09709617073844,124,4,2
E06000019,45,260,291.5,97.259746762845,271,9,5
E07000098,207,125.5,98.5,43.61185440553237,82,3,2
E07000037,277,125.5,212,82.29864134974,230,8,4
E09000017,120,260,26,50.99860727039509,134,5,3
E07000132,301,125.5,162,92.2561009033229,258,9,5
E07000227,171,24.5,220,45.917700355609114,103,4,2
E09000018,114,125.5,26,23.303021556285348,33,2,1
E07000011,296,125.5,307.5,145.04743652440612,311,10,5
E07000120,139,260,71.5,57.158250383308015,167,6,3
E07000202,129,260,313,137.61691890245078,306,10,5
E06000046,8,260,291.5,94.35767657874594,265,9,5
E06000053,1,260,157,53.82403907237434,150,5,3
E09000019,6,125.5,26,13.613043394946944,10,1,1
E09000020,3,260,26,40.41059124257618,72,3,2
E07000153,180,24.5,232,50.28558371868688,126,5,2
E07000146,272,260,202,104.75746493956231,279,9,5
E06000010,32,260,80.5,47.32963755012308,111,4,2
E09000021,92,24.5,26,11.356323552993757,4,1,1
E08000034,103,260,91,54.867309210189816,155,5,3
E08000011,2,260,52,42.466843327275164,79,3,2
E09000022,15,125.5,26,14.28163490282586,13,1,1
E07000121,169,260,71.5,61.32301969987234,180,6,3
E08000035,97,125.5,91,27.22420073787066,41,2,1
E06000016,59,260,162,59.15341517854811,172,6,3
E07000063,261,24.5,85.5,47.6093273881217,113,4,2
E09000023,21,125.5,26,14.738410133754316,14,1,1
E07000194,253,260,241,106.32065257625979,282,9,5
E07000138,179,125.5,249,64.66542755451441,189,7,3
E08000012,9,125.5,52,15.962418687435786,17,1,1
E06000032,107,260,148,61.873953365370916,182,6,3
E07000110,127,260,125,61.25576748351637,179,6,3
E07000074,181,125.5,184.5,50.14868764461846,125,5,2
E07000235,194,125.5,291.5,88.18219762365439,250,8,4
E08000003,41,125.5,59.5,19.111219281376428,26,1,1
E07000174,288,125.5,137.5,77.01575743872698,221,8,4
E06000035,113,260,125,59.646139682868714,173,6,3
