MSOA11CD,n
E02000014,5
E02000020,9
E02000022,5
E02000024,5
E02000029,5
E02000039,5
E02000040,6
E02000042,6
E02000049,5
E02000050,6
E02000053,14
E02000057,4
E02000059,6
E02000060,4
E02000106,5
E02000108,9
E02000112,4
E02000123,4
E02000131,6
E02000148,5
E02000156,4
E02000160,5
E02000169,5
E02000170,6
E02000172,10
E02000174,5
E02000176,6
E02000178,6
E02000180,5
E02000185,5
E02000196,6
E02000208,7
E02000216,7
E02000220,14
E02000221,7
E02000223,5
E02000234,5
E02000255,5
E02000256,8
E02000257,5
E02000265,7
E02000266,4
E02000276,5
E02000297,5
E02000302,6
E02000303,5
E02000312,5
E02000316,8
E02000321,5
E02000334,6
E02000351,8
E02000359,5
E02000388,6
E02000421,5
E02000430,12
E02000438,6
E02000452,5
E02000464,5
E02000467,11
E02000468,5
E02000469,10
E02000476,7
E02000480,5
E02000482,5
E02000491,10
E02000492,5
E02000494,4
E02000507,5
E02000516,4
E02000523,5
E02000526,5
E02000545,5
E02000555,5
E02000557,7
E02000564,7
E02000567,6
E02000570,7
E02000571,8
E02000575,6
E02000576,6
E02000582,7
E02000584,13
E02000585,7
E02000587,6
E02000588,7
E02000591,14
E02000594,5
E02000602,6
E02000608,7
E02000619,5
E02000622,5
E02000626,4
E02000629,5
E02000633,6
E02000634,6
E02000636,5
E02000638,6
E02000644,5
E02000653,10
E02000654,5
E02000657,5
E02000664,10
E02000671,5
E02000687,5
E02000693,9
E02000700,6
E02000713,4
E02000726,5
E02000731,4
E02000744,4
E02000750,5
E02000751,4
E02000754,5
E02000760,5
E02000780,4
E02000788,5
E02000793,4
E02000796,11
E02000806,6
E02000810,13
E02000817,5
E02000821,10
E02000822,6
E02000823,5
E02000827,4
E02000829,6
E02000830,5
E02000835,5
E02000836,5
E02000839,6
E02000848,5
E02000853,5
E02000864,14
E02000865,5
E02000866,6
E02000882,7
E02000900,5
E02000902,4
E02000907,6
E02000914,6
E02000918,7
E02000924,6
E02000929,5
E02000933,6
E02000951,8
E02000960,6
E02000968,32
E02000971,12
E02000972,5
E02000978,6
E02000980,26
E02000981,34
E02000989,5
E02001001,5
E02001017,5
E02001031,6
E02001032,5
E02001035,5
E02001038,5
E02001043,4
E02001044,8
E02001067,5
E02001070,6
E02001132,6
E02001153,5
E02001164,5
E02001173,6
E02001178,5
E02001180,8
E02001181,5
E02001200,6
E02001223,4
E02001233,6
E02001252,6
E02001259,5
E02001301,6
E02001310,5
E02001318,5
E02001334,4
E02001349,4
E02001352,5
E02001409,5
E02001413,5
E02001428,4
E02001429,5
E02001460,6
E02001491,5
E02001502,6
E02001515,6
E02001592,5
E02001613,5
E02001630,5
E02001661,6
E02001684,15
E02001695,5
E02001742,15
E02001744,10
E02001754,6
E02001763,6
E02001782,6
E02001796,5
E02001800,5
E02001849,6
E02001857,6
E02001864,5
E02001869,5
E02001871,6
E02001873,5
E02001890,6
E02001905,10
E02001913,13
E02001914,6
E02001915,5
E02001918,6
E02001920,5
E02001937,5
E02001938,5
E02001947,5
E02001949,5
E02001954,5
E02001957,4
E02002009,5
E02002010,8
