LAD19CD,LAD19NM,Extent of population living in highly clinically vulnerable areas,Extent of population living in highly health/wellbeing vulnerable areas,Extent of population living in highly economically vulnerable areas,Extent of population living in highly socially vulnerable areas,Extent of population living in highly socioeconomically vulnerable areas,Extent of population living in highly vulnerable areas,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Socioeconomic Vulnerability quintile,Vulnerability quintile,Vulnerability rank,LA spending power rank,Volunteer rank,Capacity score,Capacity rank,Capacity decile,Capacity quintile,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,Flooding incidents per capita,Flood incidents quintile,Total dwelling fires (three-year average),Dwelling fire incidents per capita,Fire incidents quintile
E06000001,Hartlepool,0.8824824254712412,0.3638779790900644,0.6830254662739516,0.15405074966216942,0.5892275504939608,0.6339354356913928,5,4,5,2,4,5,302,12,125.5,12.180327686579934,15,1,1,Hartlepool,781,0.008376053709701637,1,7,7.507346474764592e-5,3,54.33333333333333,5.82713083517442e-4,1
E06000002,Middlesbrough,0.4739539124947807,0.27559144757906723,0.6915091813635266,0.2055873657247819,0.5930950940979758,0.4754897008075705,3,3,5,3,4,5,280,16,125.5,12.480859956443512,20,1,1,Middlesbrough,1302,0.009263936817389448,2,10,7.115158845921236e-5,3,102.33333333333333,7.28117921899273e-4,2
E06000003,Redcar and Cleveland,0.5312867015547176,0.36631889613734303,0.5684006687603602,0.15392998727307305,0.3142153730190688,0.35634725647337084,5,3,5,2,3,4,228,24,125.5,13.09396824487597,27,1,1,Redcar and Cleveland,273,0.001996810953934376,1,42,0.00030720168522067323,5,71.66666666666667,5.241933517654344e-4,1
E06000004,Stockton-on-Tees,0.3877920666594254,0.20880617456893388,0.483620261501924,0.21372328663077886,0.4026183818884577,0.40080281885975805,4,3,4,2,3,5,277,76,125.5,17.53524975543517,58,2,1,Stockton-on-Tees,2444,0.012392692165323786,2,21,1.0648385248436969e-4,3,103,5.222779431376228e-4,1
E06000005,Darlington,0.7205509163088454,0.38734994473402695,0.5222942885901201,0.14026160708905872,0.31297434157433446,0.39263011704137885,5,4,4,1,2,5,256,56,260,42.74036371631739,180,6,3,Darlington,1036,0.0097216748306214,2,NA,NA,NA,86.33333333333333,8.101395692184499e-4,3
E06000006,Halton,0.8054384298387678,0.11220418505307743,0.6796522263675884,0.4154636408043904,0.6083492267872247,0.6326431189472372,5,2,5,4,4,5,315,34,125.5,13.88407674274766,33,2,1,Halton,1139,0.008868506291266974,1,5,3.893110751214651e-5,1,96.33333333333333,7.500726714006893e-4,3
E06000007,Warrington,0.18395914445019618,0.11652704216840688,0.34606556047092063,0.17338662623860543,0.2775465396156571,0.15556831490887735,3,2,4,3,3,4,200,111,125.5,21.094413509196567,77,3,2,Warrington,12545,0.05986723742167628,4,56,2.672431483151751e-4,5,145,6.919688661732213e-4,2
E06000008,Blackburn with Darwen,0.32742786135754715,0.1429930513396596,0.6663230441521214,0.2656982513150651,0.4874618272460703,0.3778699267606111,3,2,5,3,4,4,232,38,260,41.22404129842101,167,6,3,Blackburn with Darwen,822,0.005518926830578346,1,16,1.0742436653193861e-4,3,148.33333333333334,9.959133980565141e-4,5
E06000009,Blackpool,0.9377871916789929,0.5364553167132324,0.7282449528580792,0.04395391407343598,0.35487432914147105,0.8543791075621648,5,5,5,1,3,5,309,4,260,38.606954811775495,145,5,3,Blackpool,7719,0.05541078927533111,4,21,1.5074835791967266e-4,4,198.5,0.0014249309070026202,5
E06000010,"Kingston upon Hull, City of",0.26278802283000363,0.16094341870521608,0.5534049740976584,0.7477460268100087,0.640627421245473,0.5639002030388177,3,2,5,5,5,5,287,32,260,40.74003009276585,163,6,3,"Kingston upon Hull, City of",236223,0.9063016746916304,5,7,2.6856452262656103e-5,1,253,9.706689174931421e-4,5
