LAD19CD,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,"Flooding incidents per 10,000 people",Flood incidents quintile,Total dwelling fires (three-year average),"Dwelling fire incidents per 10,000 people",Fire incidents quintile
E06000001,Hartlepool,781,0.008376053709701637,1,7,0.7507346474764591,3,54.33333333333333,5.82713083517442,1
E06000002,Middlesbrough,1302,0.009263936817389448,2,10,0.7115158845921236,3,102.33333333333333,7.28117921899273,2
E06000003,Redcar and Cleveland,273,0.001996810953934376,1,42,3.0720168522067324,5,71.66666666666667,5.241933517654345,1
E06000004,Stockton-on-Tees,2444,0.012392692165323786,2,21,1.064838524843697,3,103,5.222779431376228,1
E06000005,Darlington,1036,0.0097216748306214,2,NA,NA,NA,86.33333333333333,8.101395692184498,3
E06000006,Halton,1139,0.008868506291266974,1,5,0.38931107512146507,1,96.33333333333333,7.500726714006894,3
E06000007,Warrington,12545,0.05986723742167628,4,56,2.672431483151751,5,145,6.919688661732213,2
E06000008,Blackburn with Darwen,822,0.005518926830578346,1,16,1.074243665319386,3,148.33333333333334,9.959133980565142,5
E06000009,Blackpool,7719,0.05541078927533111,4,21,1.5074835791967267,4,198.5,14.249309070026202,5
E06000010,"Kingston upon Hull, City of",236223,0.9063016746916304,5,7,0.268564522626561,1,253,9.706689174931421,5
E06000011,East Riding of Yorkshire,70823,0.20853969506557446,5,17,0.5005682922376581,2,233.83333333333334,6.885267784406218,2
E06000012,North East Lincolnshire,59525,0.3724479261173438,5,NA,NA,NA,159.16666666666666,9.95905836321051,5
E06000013,North Lincolnshire,20548,0.11946164355687335,5,NA,NA,NA,121.33333333333333,7.05405850605118,2
E06000014,York,5010,0.02386930483627372,3,42,2.001019567112767,5,143.33333333333334,6.828876300464205,2
E06000015,Derby,6524,0.02536803875975021,3,NA,NA,NA,201.5,7.83516218591304,3
E06000016,Leicester,18011,0.05070407468090018,4,14,0.39412417163544644,1,307,8.64258004943443,4
E06000017,Rutland,312,0.007859535985087034,1,NA,NA,NA,24.833333333333332,6.2557204154805985,1
E06000018,Nottingham,18877,0.05701832548501974,4,NA,NA,NA,362.1666666666667,10.939310737842161,5
E06000019,"Herefordshire, County of",5036,0.026214557512219752,3,16,0.832869182278626,3,163.33333333333334,8.502206235760974,4
E06000020,Telford and Wrekin,1628,0.009156406953919876,1,3,0.1687298578732164,1,143.83333333333334,8.08965929692143,3
E06000021,Stoke-on-Trent,5901,0.023065828098798827,3,6,0.23452799287034903,1,287.8333333333333,11.250828991308131,5
E06000022,Bath and North East Somerset,2276,0.011847625789928477,2,14,0.7287643280272349,3,122.66666666666667,6.3853636360481545,1
E06000023,"Bristol, City of",7068,0.015252317087644717,2,15,0.32369093989059244,1,425.6666666666667,9.185629560895258,5
E06000024,North Somerset,85525,0.3998008592037173,5,10,0.4674666579406224,2,172.83333333333334,8.07938207140709,3
E06000025,South Gloucestershire,6944,0.024568007811947186,3,27,0.9552652807064718,3,173.16666666666666,6.1266705349013835,1
E06000026,Plymouth,3283,0.012478145191942227,2,NA,NA,NA,241.16666666666666,9.166349930318002,5
E06000027,Torbay,2907,0.021409633230225364,3,NA,NA,NA,142.33333333333334,10.482643491923211,5
E06000030,Swindon,3090,0.013919169714769636,2,NA,NA,NA,187.66666666666666,8.453605770674546,4
E06000031,Peterborough,3314,0.01648419974035147,3,NA,NA,NA,150.83333333333334,7.502615552714786,3
E06000032,Luton,NA,NA,NA,NA,NA,NA,244,11.396064621291023,5
E06000033,Southend-on-Sea,3371,0.01847497848878951,3,23,1.2605295320147099,4,174.16666666666666,9.545314209821534,5
E06000034,Thurrock,29787,0.1726532386610636,5,NA,NA,NA,131.33333333333334,7.612423320291745,3
E06000035,Medway,8290,0.02983570567382268,3,20,0.719799895629015,3,165.66666666666666,5.962342468793675,1
E06000036,Bracknell Forest,1734,0.014250961570071337,2,5,0.410927380913245,1,94.83333333333333,7.7939226579878795,3
E06000037,West Berkshire,5142,0.032436114983567466,4,NA,NA,NA,108.5,6.8442599683334695,2
E06000038,Reading,4782,0.02930093196816235,3,29,1.776928120193869,5,126.5,7.751083007052566,3
E06000039,Slough,11357,0.07616422554858093,5,8,0.5365094693921348,2,119.33333333333334,8.002932918432677,3
E06000040,Windsor and Maidenhead,23647,0.15670019747392416,5,50,3.313320875246842,5,118.66666666666667,7.863614877252506,3
E06000041,Wokingham,1457,0.008673703260526614,1,NA,NA,NA,93.33333333333333,5.556250086816407,1
E06000042,Milton Keynes,1582,0.005889645467169508,1,11,0.40952022843782926,1,309.3333333333333,11.51620521182744,5
E06000043,Brighton and Hove,1511,0.005203257631846279,1,19,0.6542812376246148,2,286.5,9.865872346286952,5
E06000044,Portsmouth,12109,0.05628611138226121,4,5,0.23241436692650594,1,191.5,8.901470253285177,4
E06000045,Southampton,2841,0.011238310732764758,2,6,0.23734552761910788,1,238.83333333333334,9.447670585505046,5
E06000046,Isle of Wight,2088,0.014752222018115277,2,8,0.565219234410547,2,122,8.61959332476084,4
E06000047,County Durham,2489,0.004723139398079623,1,32,0.60723367110706294,2,390.5,7.4101483927283764,2
E06000049,Cheshire East,853,0.002240079834029255,1,51,1.339320885527456,4,283.5,7.445048451902624,2
E06000050,Cheshire West and Chester,2628,0.007718016340579497,1,47,1.380314946755085,4,234.16666666666666,6.877101064506719,2
E06000051,Shropshire,8197,0.02559371038548243,3,37,1.1552608079332072,4,243.33333333333334,7.597661169290462,3
E06000052,Cornwall,11727,0.02072025273513697,3,38,0.671416051790914,2,463.3333333333333,8.186564140257635,3
E06000053,Isles of Scilly,NA,NA,NA,NA,NA,NA,1,4.460303300624442,1
E06000054,Wiltshire,8968,0.01800571814064056,3,32,0.6424877124224999,2,365.8333333333333,7.345106920663476,2
