LAD19CD,Staff turnover rate,Mean sickness days,Adult Social Care - Coping score,Adult Social Care - Coping rank,Adult Social Care - Coping decile,Vacancy rate,Mean % of non-zero-hours contracts,Adult Social Care - Flexibility score,Adult Social Care - Flexibility rank,Adult Social Care - Flexibility decile
E09000003,0.2745750430281554,4.605052895434707,1.2915150099955497,287.5,10,0.08364329148784719,0.8531049422899477,0.049252691059152975,195,7
E08000016,0.21893641558890822,3.1342528731984487,0.8372957480055894,225,8,0.06335498817263137,0.9177875313283128,0.23531841283817262,263.5,9
E06000022,0.16292046459437165,4.167253754175523,0.7661529720312583,216,7,0.05867616378684204,0.8912445143764802,0.08208781843192109,209,7
E06000055,0.1724956120949815,2.040299380685207,0.5910322927098277,203,7,0.11955360360460107,0.8670793573110609,0.25720849775335175,276,9
E09000004,0.1139491501877061,2.4461858827709597,0.5089444742779073,198,7,0.07495987350549883,0.8392178313083885,-0.04925269105915164,144,5
E08000025,0.1975493283801723,7.1805081063718115,1.2148997127924241,280.5,9,0.04601649337566423,0.8682146558919785,-0.1805932005502247,62,2
E06000008,0.19509487812801102,4.027154976449901,0.8591858329207682,226,8,0.10315021138236921,0.8467421624834626,0.11492294580468965,226,8
E06000009,0.27218148225762884,4.91929954078582,1.3462402222834966,297,10,0.12914093315945993,0.8408093470164735,0.16964815809263667,242,8
E08000001,0.16386830878496378,7.89636474654062,1.1218668519029142,262,9,0.054576547275074716,0.8719288985975521,-0.04378016983035704,150,5
E06000036,0.22678968580549697,5.292398366942116,1.1930096278772453,272,9,0.12844077311746022,0.8196410992256433,0.09850538211830562,215,7
E08000032,0.1803721080182395,12.679085769580215,1.2148997127924241,280.5,9,0.050298840090594224,0.8936982418286441,-0.01641756368638364,169,6
E09000005,0.2879192694219971,6.5667459657257545,1.504943337918543,308,10,0.061675327084957925,0.7736198494281019,-0.27909858266852916,28,1
E09000006,0.23021139990373998,3.264190236887814,0.9193835664375098,235,8,0.1475092466060099,0.8159882225287497,0.12039546703348436,229,8
E08000002,0.21505474197843233,6.026187125636735,1.1547019792756823,267.5,9,0.032211312717493654,0.9295174720200127,0.021890084915179103,189,7
E08000033,0.14127696727911399,4.780038623859749,0.7989880994040266,222,8,0.012232107032488221,0.9306681801561663,-0.3557138798716556,19,1
E09000007,0.22925222359291622,4.523501198527036,1.0890317245301457,256,9,0.11688382105581091,0.6997438580394755,-0.054725212287946134,142,5
E06000056,0.22558904383481856,3.5863497174670296,0.9084385239799204,233,8,0.09017781430768843,0.802861763013496,-0.054725212287946245,140.5,5
E06000049,0.26162739242376465,4.6819707092934575,1.2641524038515761,286,10,0.07882428811399855,0.8759574404463317,0.13681303071986817,231,8
E09000001,0.08323652440707742,1.792390226022623,0.41591161338839744,195,7,0.017937382184339896,0.8807034117083931,-0.39402152847321825,14,1
