LAD19CD,Total beds available
E06000001,4699.369565217391
E06000002,3236.478260869565
E06000003,2174.836956521739
E06000004,4021.315217391304
E06000005,4766.413043478261
E06000006,1334.4239130434783
E06000007,2091.9891304347825
E06000008,3026.5
E06000009,749.6195652173913
E06000010,1337.728260869565
E06000011,5464.619565217391
E06000012,3018.195652173913
E06000013,4440.358695652174
E06000014,5907.815217391304
E06000015,1855.0000000000002
E06000016,5581.760869565217
E06000017,1784.1630434782608
E06000018,3910.445652173913
E06000019,1443.7608695652175
E06000020,899.4673913043478
E06000021,2156.9347826086955
E06000022,1577.2065217391305
E06000023,3669.6304347826085
E06000024,1648.836956521739
E06000025,3086.978260869565
E06000026,4390.554347826087
E06000027,1628.391304347826
E06000030,2298.619565217391
E06000031,2842.945652173913
E06000032,1976.608695652174
E06000033,1387.8695652173913
E06000034,2217.8695652173915
E06000035,4110.304347826087
E06000036,1510.1739130434783
E06000037,1950.5434782608695
E06000038,2022.141304347826
E06000039,2534.413043478261
E06000040,2985.2065217391305
E06000041,816.5434782608696
E06000042,2704.967391304348
E06000043,2849.195652173913
E06000044,2284.586956521739
E06000045,3565.75
E06000046,490.00000000000006
E06000047,5677.402173913043
E06000049,1970.695652173913
E06000050,2332.695652173913
E06000051,1530.7173913043478
E06000052,3319.3152173913045
E06000053,1029.5434782608695
E06000054,2767.0652173913045
E06000056,896.6413043478261
E06000057,4241.163043478261
E06000058,3222.445652173913
E06000059,2667.7608695652175
E06000060,5648.989130434783
E07000008,1382.8478260869565
E07000009,1436.8152173913045
E07000010,3209.3695652173915
E07000011,2195.445652173913
E07000012,1401.304347826087
E07000026,2247.9891304347825
E07000027,2001.6304347826087
E07000028,2310.282608695652
E07000029,1586.2282608695652
E07000030,2247.9891304347825
E07000031,1367.1847826086957
E07000032,37.92391304347826
E07000033,37.92391304347826
E07000034,995.1630434782609
E07000035,1683.6847826086957
E07000036,2098.445652173913
E07000037,3798.163043478261
E07000038,37.92391304347826
E07000040,1714.9347826086957
E07000041,2951.641304347826
E07000042,1991.945652173913
E07000043,2566.782608695652
E07000044,1351.3804347826087
E07000045,1991.945652173913
E07000046,1991.945652173913
E07000047,2610.141304347826
E07000061,3636.391304347826
E07000062,3058.391304347826
E07000063,1294.4782608695652
E07000064,1746.695652173913
E07000065,3547.0760869565215
E07000066,3220.8804347826085
E07000067,1322.3260869565217
E07000068,2140.913043478261
E07000070,2076.5
E07000071,1707.1847826086957
E07000072,2043.413043478261
E07000073,2336.5978260869565
E07000075,688.6304347826087
E07000076,1322.3260869565217
E07000077,1768.5978260869565
E07000078,1090.9021739130435
E07000079,3433.2065217391305
E07000080,1090.9021739130435
E07000081,1090.9021739130435
E07000082,1090.9021739130435
E07000083,1090.9021739130435
E07000084,2630.913043478261
E07000085,1636.1304347826085
E07000086,1974.532608695652
E07000087,729.2826086956521
E07000088,729.2826086956521
E07000089,3284.391304347826
E07000090,729.2826086956521
E07000091,1867.9347826086955
E07000093,1636.1304347826085
E07000094,2806.423913043478
E07000095,1609.9891304347825
E07000096,817.7065217391304
E07000098,1171.6195652173913
E07000099,1079.9673913043478
E07000102,817.7065217391304
E07000103,1859.695652173913
E07000105,3665.565217391304
E07000106,2293.163043478261
E07000107,4639.04347826087
E07000108,1848.4239130434783
E07000109,3489.5217391304345
E07000110,4667.75
E07000111,1850.5434782608695
E07000112,1777.7065217391305
E07000113,2353.869565217391
E07000114,1848.4239130434783
E07000116,1779.8260869565215
E07000117,1830.8152173913043
E07000118,1667.445652173913
E07000119,2218.076086956522
E07000120,1081.195652173913
E07000121,2116.804347826087
E07000122,1081.195652173913
E07000123,2218.076086956522
E07000124,1631.8260869565217
E07000127,3790.5978260869565
E07000128,749.6195652173913
E07000130,1784.1630434782608
E07000131,2394.760869565217
E07000132,1784.1630434782608
