Name_scraped,Name_bed_occupancy
Gloucestershire Health and Care NHS Foundation Trust,2GETHER NHS FOUNDATION TRUST
Liverpool University Hospitals NHS Foundation Trust,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
Mid and South Essex Foundation Trust,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
Black Country Healthcare NHS Foundation Trust,BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST
Bradford District NHS Foundation Trust,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST
North Cumbria Integrated Care NHS Foundation Trust,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST
Cumbria Northumberland Tyne and Wear NHS Foundation Trust,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST"
Black Country Healthcare NHS Foundation Trust,DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST
Lancashire & South Cumbria NHS Foundation Trust,LANCASHIRE CARE NHS FOUNDATION TRUST
Liverpool Heart and Chest NHS Foundation Trust,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST
Mid and South Essex Foundation Trust,MID ESSEX HOSPITAL SERVICES NHS TRUST
Cumbria Northumberland Tyne and Wear NHS Foundation Trust,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST"
Liverpool University Hospitals NHS Foundation Trust,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST
Royal Surrey NHS Foundation Trust,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST
Mid and South Essex Foundation Trust,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
St Helens and Knowsley Hospitals NHS Trust,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST
Tameside Hospital NHS Foundation Trust,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST
"The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST"
Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST
University Hospitals Bristol and Weston NHS Foundation Trust,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST
University Hospital of Derby and Burton NHS Foundation Trust,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST
University Hospitals of North Midlands,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST
Warrington and Halton Hospitals NHS Foundation Trust,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST
University Hospitals Bristol and Weston NHS Foundation Trust,WESTON AREA HEALTH NHS TRUST
