MSOA11CD,No. people in flood risk areas,% people in flood risk areas
E02000001,385,0.039604979
E02000012,412,0.036489239
E02000017,1284,0.138436658
E02000019,1014,0.110529758
E02000020,9815,0.734930738
E02000021,358,0.040026834
E02000022,3344,0.408652084
E02000023,5909,0.736415753
E02000026,219,0.033217048
E02000036,864,0.074194933
E02000041,1543,0.153777158
E02000047,581,0.046771856
E02000050,609,0.055313351
E02000053,1856,0.111237639
E02000057,489,0.059889773
E02000065,8601,0.960898224
E02000066,10182,1
E02000067,3228,0.308781328
E02000068,2020,0.246251371
E02000072,3059,0.234603881
E02000087,385,0.0479273
E02000092,397,0.058528675
E02000093,428,0.03870151
E02000098,335,0.04013418
E02000102,908,0.119836347
E02000104,706,0.097312198
E02000113,3137,0.325212523
E02000118,572,0.054763045
E02000137,240,0.028106336
E02000139,344,0.043043043
E02000144,1752,0.174780527
E02000150,795,0.091347811
E02000151,363,0.047469596
E02000153,728,0.092786133
E02000159,637,0.091522989
E02000196,563,0.069894475
E02000197,471,0.048848787
E02000202,339,0.039962277
E02000203,1116,0.137675796
E02000211,341,0.042265741
E02000217,1268,0.102332338
E02000220,342,0.025537634
E02000222,534,0.064044135
E02000224,1435,0.17733564
E02000230,2261,0.21294029
E02000233,1042,0.163374098
E02000235,805,0.115561298
E02000243,368,0.043741828
E02000249,420,0.056611403
E02000271,2635,0.382327336
E02000279,1382,0.105803093
E02000293,296,0.045884359
E02000299,517,0.050875812
E02000300,519,0.057253172
E02000301,2101,0.192628587
E02000304,331,0.040975489
E02000306,2002,0.216713574
E02000309,2512,0.202417405
E02000313,7470,1
E02000314,10616,0.66044544
E02000315,9649,1
E02000316,5733,0.378941106
E02000318,3461,0.328992395
E02000319,1487,0.127083155
E02000320,369,0.050341064
E02000321,603,0.078281189
E02000357,589,0.089882497
E02000362,2466,0.329151095
E02000376,4841,0.704350356
E02000377,3957,0.483386269
E02000378,2282,0.353032178
E02000379,6664,0.842690946
E02000380,5737,1
E02000381,4949,0.624400707
E02000382,5671,0.962328186
E02000383,811,0.091442102
E02000384,6889,0.924325775
E02000385,5378,0.916183986
E02000386,4332,0.538872994
E02000387,5980,1
E02000388,5563,0.640013806
E02000389,7918,0.93054413
E02000390,697,0.110354655
E02000391,7849,0.972373637
E02000392,7440,0.784561848
E02000393,3325,0.560897436
E02000394,9284,1
E02000395,6251,1
E02000396,7080,1
E02000411,290,0.026879229
E02000438,765,0.097044272
E02000440,645,0.066929542
E02000448,676,0.097378277
E02000451,536,0.08190709
E02000453,430,0.052083333
E02000471,295,0.038826007
E02000474,363,0.039192399
E02000476,531,0.051583447
E02000478,391,0.067297762
E02000491,847,0.085954942
E02000493,1789,0.262470657
E02000497,338,0.036639566
E02000498,589,0.095756788
E02000500,356,0.043219619
E02000502,395,0.045009116
E02000504,367,0.049268358
E02000524,288,0.034611225
E02000526,8068,0.950966525
E02000528,1513,0.121428571
E02000531,998,0.093876399
E02000532,8075,0.900825524
E02000533,6070,0.722963316
E02000539,329,0.02991453
E02000545,421,0.048136291
E02000594,1776,0.22916129
E02000595,198,0.025997899
E02000596,161,0.02086303
E02000597,2776,0.389942408
E02000601,3492,0.259185037
E02000602,948,0.07974428
E02000606,1181,0.104052863
E02000607,572,0.070976548
E02000610,235,0.028728606
E02000619,8579,0.940886159
E02000620,10622,1
E02000621,8114,0.652670528
E02000622,1671,0.188218067
E02000625,369,0.043503891
E02000629,671,0.074250304
E02000630,1410,0.175460428
E02000652,351,0.044656489
E02000653,11768,1
E02000654,7629,0.865947787
E02000655,5602,0.601395598
E02000658,748,0.085077343
E02000661,292,0.042404879
E02000663,298,0.040069921
E02000664,1727,0.117635038
E02000665,1670,0.190769934
E02000666,970,0.131258457
E02000668,830,0.10952758
E02000672,260,0.025299212
E02000700,367,0.043711291
E02000704,184,0.022099448
E02000708,297,0.035581646
E02000710,731,0.085247813
E02000713,261,0.035539216
E02000715,1385,0.18059721
E02000718,3825,0.514182014
E02000725,733,0.07219541
E02000726,5736,0.216346698
E02000728,1474,0.179843826
E02000733,6223,0.613889711
E02000736,6644,0.733657244
E02000737,3040,0.299832331
E02000740,4242,0.594533987
E02000742,2854,0.324871941
E02000743,7551,0.741748527
E02000744,5046,0.530766803
E02000745,4058,0.493014215
E02000746,6110,0.723162504
E02000747,13544,0.961112688
E02000748,3396,0.524478764
E02000749,6577,0.767444574
E02000750,16414,1
E02000754,334,0.050263356
E02000755,701,0.12533524
E02000759,1111,0.083427198
E02000774,523,0.069189046
E02000779,870,0.09610074
E02000780,585,0.032854094
E02000781,411,0.027146631
E02000784,9483,0.936962751
E02000785,3155,0.313306852
E02000786,6465,0.557087462
E02000787,3340,0.272630806
E02000790,1476,0.22118987
E02000792,906,0.123265306
E02000797,449,0.056146055
E02000799,577,0.092631241
E02000801,483,0.066814221
E02000805,1517,0.132709299
E02000806,233,0.022586274
E02000807,5715,0.60100957
E02000808,9930,0.866946045
E02000809,13978,0.976526478
E02000810,12934,0.957294057
E02000812,10205,0.943509615
E02000813,10219,0.940543028
E02000814,10356,1
E02000815,5848,0.806731963
E02000816,10006,0.944586047
E02000817,7287,1
E02000818,7796,0.916098707
E02000819,8828,1
E02000820,10515,1
E02000821,7938,1
E02000822,5638,0.780994598
E02000823,8089,0.904101934
E02000824,5633,0.57497193
E02000825,5749,0.603949995
E02000826,6801,0.731604991
E02000827,3596,0.323235955
E02000828,642,0.074581784
E02000829,2465,0.212848631
E02000843,325,0.037580944
E02000845,355,0.035521313
E02000849,362,0.044935452
E02000850,304,0.027966881
E02000853,462,0.057022957
E02000867,747,0.058359375
E02000881,3772,0.396426695
E02000883,3784,0.421803589
E02000886,4191,0.4423219
E02000887,2372,0.207687593
E02000888,558,0.053928675
E02000889,3768,0.434101382
E02000890,6350,0.929857959
E02000891,18628,0.914347421
E02000893,8132,1
E02000894,12011,1
E02000897,345,0.040313157
E02000900,921,0.105005131
E02000902,331,0.033772064
E02000912,1614,0.171903291
E02000916,714,0.072033898
E02000923,8197,1
E02000924,14770,1
E02000925,8068,1
E02000926,11349,1
E02000927,5737,0.783850253
E02000928,559,0.065090824
E02000929,7508,1
E02000930,5191,0.472984055
E02000932,1216,0.102815591
E02000934,303,0.030242539
E02000940,629,0.073284399
E02000953,221,0.028188776
E02000956,300,0.036175087
E02000977,499,0.066285866
E02000979,9777,0.920015056
E02000980,10898,1
E02000981,10426,1
E02000982,7597,0.821652607
E02000983,9938,1
E02000988,260,0.029220049
E02000991,216,0.028235294
E02000992,288,0.0476348
E02000998,513,0.05362743
E02001021,313,0.041822555
E02001029,431,0.056710526
E02001031,1261,0.190282179
E02001033,1449,0.240218833
E02001046,246,0.023622047
E02001057,300,0.026272003
E02001079,872,0.098198198
E02001080,1083,0.112065397
E02001084,305,0.036400525
E02001086,338,0.051250948
E02001088,495,0.054641793
E02001090,569,0.087592365
E02001099,514,0.086883029
E02001133,384,0.059049669
E02001139,460,0.046189376
E02001145,705,0.098698026
E02001163,288,0.030354132
E02001167,2385,0.331849172
E02001172,991,0.063145151
E02001178,1283,0.084764799
E02001207,361,0.051741436
E02001208,1286,0.169836239
E02001217,257,0.037187093
E02001220,325,0.056967572
E02001243,209,0.026095642
E02001265,347,0.042581912
E02001271,287,0.043676762
E02001276,209,0.025556371
E02001279,313,0.03685822
E02001290,316,0.051265412
E02001295,439,0.056740339
E02001298,362,0.041777265
E02001299,1488,0.165406847
E02001300,315,0.037928958
E02001301,256,0.028008753
E02001309,293,0.035233285
E02001310,267,0.028334925
E02001315,258,0.031197098
E02001317,1042,0.120170684
E02001319,283,0.036226318
E02001323,325,0.040783034
E02001325,839,0.105561147
E02001357,345,0.048915355
E02001396,242,0.030352439
E02001414,584,0.106764168
E02001425,457,0.044589716
E02001427,361,0.034848924
E02001429,6130,0.913698018
E02001430,4923,0.707022835
E02001431,863,0.115235679
E02001448,526,0.078671852
E02001469,629,0.081004507
E02001472,4711,0.671944088
E02001475,2040,0.31765805
E02001479,1552,0.250767491
E02001480,614,0.078808882
E02001482,442,0.053948493
E02001534,336,0.034059807
E02001539,6382,1
E02001540,171,0.014580491
E02001541,6593,0.584641305
E02001542,4495,0.57606049
E02001543,4131,0.514509902
E02001544,5956,0.702772861
E02001545,4517,0.541476864
E02001546,2337,0.256474978
E02001547,152,0.013916865
E02001548,7148,0.876732491
E02001549,838,0.134965373
E02001550,314,0.040490006
E02001551,605,0.099818512
E02001553,1451,0.140342393
E02001554,333,0.055315615
E02001555,575,0.108716203
E02001558,247,0.040941488
E02001559,410,0.053805774
E02001560,375,0.027939204
E02001615,263,0.036568409
E02001618,506,0.051354917
E02001627,316,0.051760852
E02001646,407,0.044408074
E02001650,471,0.04591986
E02001660,407,0.03957604
E02001678,307,0.029820301
E02001709,325,0.032089258
E02001749,393,0.061811891
E02001759,207,0.033653065
E02001764,338,0.043189369
E02001812,288,0.028526149
E02001815,233,0.023431215
E02001825,293,0.040503179
E02001835,189,0.023164604
E02001845,311,0.047721344
E02001850,555,0.067069486
E02001855,3324,0.340923077
E02001856,1157,0.118545082
E02001859,358,0.033386179
E02001863,312,0.038504258
E02001864,1029,0.18342246
E02001870,1090,0.085564016
E02001897,342,0.04109589
E02001900,485,0.066374709
E02001905,808,0.066881881
E02001910,873,0.121081831
