LAD19CD,LA spending power rank,Volunteer rank,Charity density rank,Community engagement rank,Emergency response rank,Capacity score,Capacity rank,Capacity decile,Capacity quintile
E06000001,12,125.5,279,265,7.5,99.28162842084613,154,5,3
E06000002,16,125.5,275,295,7.5,115.07582723432924,192,7,4
E06000003,24,125.5,281,232,7.5,90.67642104263076,136,5,3
E06000004,76,125.5,305,281,7.5,134.4047199789696,233,8,4
E06000005,56,260,264,261,142.5,133.92374737457317,232,8,4
E06000006,34,125.5,292,307,202,163.43849585305347,278,9,5
E06000007,111,125.5,239,221,202,101.76174258663549,162,6,3
E06000008,38,260,237,231,71.5,106.50810616788606,174,6,3
E06000009,4,260,317,180,71.5,162.85287781740453,277,9,5
E06000010,32,260,273,268,80.5,131.86639919576302,224,8,4
E06000011,79,260,141,90,80.5,71.78371083001308,86,3,2
E06000012,53,260,293,189,80.5,124.9983086548733,206,7,4
E06000013,90,260,227,242,80.5,112.43012629436143,186,6,3
E06000014,119,24.5,90,42,291.5,77.70357439915077,103,4,2
E06000015,88,125.5,262,42,212,85.36682199862844,120,4,2
E06000016,59,260,236,173,162,106.93801283856898,176,6,3
E06000017,26,125.5,37,42,162,35.16918238864606,10,1,1
E06000018,47,125.5,216,190,137.5,73.81449042747268,93,3,2
E06000019,45,260,31,88,291.5,105.7665287964279,172,6,3
E06000020,77,24.5,247,210,232,95.37068453201026,145,5,3
E06000021,51,260,312,275,241,200.17872356154714,303,10,5
E06000022,110,125.5,74,42,154.5,45.02209345493978,19,1,1
E06000023,55,125.5,106,42,154.5,42.88689551800161,15,1,1
E06000024,83,125.5,151,42,154.5,50.84097271816863,34,2,1
E06000025,99,24.5,174,213,154.5,68.01798560865652,79,3,2
E06000026,65,125.5,240,42,259.5,89.06901228287785,130,5,3
E06000027,17,125.5,199,42,259.5,75.71173684917571,98,4,2
E06000030,106,24.5,223,239,225.5,97.16459099188407,148,5,3
E06000031,89,24.5,215,200,307.5,129.47015448470097,216,7,4
E06000032,107,260,270,259,148,141.355511976716,243,8,4
E06000033,80,260,258,222,184.5,128.4773783555844,215,7,4
E06000034,109,260,306,285,184.5,187.47721666979044,296,10,5
E06000035,113,260,267,270,125,142.31014310570876,245,8,4
E06000036,108,125.5,217,271,148,103.29027463904055,166,6,3
E06000037,68,24.5,62,116.5,148,36.44585835799994,13,1,1
E06000038,42,24.5,169,116.5,148,46.446125562597544,23,1,1
E06000039,101,260,308,282,148,182.60490425835582,290,10,5
E06000040,121,24.5,88,118,148,44.450096155826486,18,1,1
E06000041,63,125.5,137,84,148,50.037820944787,32,2,1
E06000042,104,260,173,186,278,130.6657909800772,220,7,4
E06000043,58,125.5,155,42,85.5,41.12337902464626,14,1,1
E06000044,94,260,271,267,110,139.06024035618705,240,8,4
E06000045,82,125.5,260,260,110,103.76637859795369,167,6,3
E06000046,8,260,103,87,291.5,109.33620547121654,181,6,3
E06000047,43,125.5,201,218,142.5,76.57291055566307,100,4,2
E06000049,75,125.5,144,122,202,64.63816546532867,75,3,2
E06000050,54,24.5,142,127,202,53.50818599878221,44,2,1
E06000051,62,125.5,60,42,232,53.432614284879705,43,2,1
E06000052,28,125.5,83,42,317,123.3112150720941,202,7,4
E06000053,1,260,6,NA,157,NA,316,10,5
E06000054,85,125.5,53,89,225.5,57.583668882800474,52,2,1
E06000055,37,125.5,94,130,148,47.96344345538694,27,1,1
E06000056,93,125.5,129,121,148,55.80270586645857,49,2,1
E06000057,19,125.5,98,148,316,130.12195399856842,219,7,4
E06000058,123,125.5,230,145,225.5,92.78782764353517,140,5,3
E07000143,309,260,68,42,202,144.62552319836595,250,8,4
E07000144,300,125.5,99,42,202,108.1224340738031,178,6,3
E07000145,201,260,255,223,202,146.8195228658235,258,9,5
E07000146,272,260,92,198,202,133.58299531142436,231,8,4
E07000147,240,125.5,16,42,202,69.88640533307385,83,3,2
E07000148,168,24.5,105,134,202,62.83197539466571,68,3,2
E07000149,195,125.5,39,106.5,202,67.58422524527937,77,3,2
E07000150,184,260,307,287,232,210.21584882485382,306,10,5
E07000151,137,24.5,47,42,232,50.60009887899277,33,2,1
E07000152,266,24.5,115,96,232,89.83535435637923,133,5,3
E07000153,180,24.5,166,303,232,132.68234866190073,227,8,4
E07000154,198,24.5,231,283,232,131.216632013025,221,7,4
E07000155,138,24.5,36,131.5,232,58.71193276992703,55,2,1
E07000156,283,24.5,171,252,232,132.75722757948571,228,8,4
E07000163,204,125.5,13,42,291.5,93.21244954634648,141,5,3
E07000164,282,260,18,42,291.5,145.55277099111404,253,8,4
E07000165,140,125.5,44,42,291.5,85.62552353276988,121,4,2
E07000166,154,24.5,25,110.5,291.5,82.85285362562685,113,4,2
E07000167,132,260,9,42,291.5,108.64744520010773,179,6,3
E07000168,146,260,91,42,291.5,117.42572321128374,196,7,4
E07000169,162,260,139,42,291.5,125.0090952488869,207,7,4
E07000170,293,125.5,314,314,137.5,254.96909227104211,315,10,5
E07000171,262,260,167,234,137.5,136.44342476199748,236,8,4
E07000172,311,125.5,218,169,137.5,146.67222010722034,257,9,5
E07000173,306,125.5,210,137.5,137.5,131.4071735463148,222,8,4
E07000174,288,125.5,257,299,137.5,174.69093663851618,286,10,5
E07000175,254,260,82,143,137.5,106.97803309531255,177,6,3
E07000176,274,24.5,125,42,137.5,73.01599439301673,92,3,2
E07000177,188,125.5,93,178,302,122.6013017634005,201,7,4
E07000178,130,24.5,38,105,302,90.26500414183462,134,5,3
E07000179,297,24.5,17,101,302,135.78697987539135,234,8,4
E07000180,212,125.5,22,147,302,116.43228213082563,194,7,4
E07000181,308,125.5,20,137.5,302,163.74611168771452,279,9,5
E07000187,255,125.5,41,42,259.5,91.71020809976267,138,5,3
E07000188,275,260,100,99,259.5,137.4361167781202,237,8,4
E07000189,286,260,56,119,259.5,141.6961543613973,244,8,4
E07000192,213,260,299,313,241,240.78835259511112,312,10,5
E07000193,226,125.5,160,266,241,127.33273054612346,212,7,4
E07000194,253,260,128,199,241,139.3032258041221,241,8,4
E07000195,294,260,259,294,241,221.15284700938489,309,10,5
E07000196,312,125.5,180,278,241,189.90494634819152,299,10,5
E07000197,258,125.5,102,125.5,241,100.56455318337619,158,6,3
E07000198,302,125.5,147,228,241,150.3723168858239,265,9,5
E07000199,289,260,288,277,241,220.5365443953253,308,10,5
E07000200,269,125.5,29,173,313,157.34901878752666,272,9,5
E07000202,129,260,159,225,313,177.58763206994712,287,10,5
E07000203,249,260,28,42,313,161.9825546149254,276,9,5
E07000207,144,24.5,121,115,172,53.86287962690875,45,2,1
E07000208,234,125.5,203,159,172,97.3995174760611,150,5,3
E07000209,291,24.5,71,42,172,82.49559301016977,110,4,2
E07000210,235,24.5,23,124,172,62.30519876294551,66,3,2
E07000211,161,125.5,140,212,172,82.67725368501895,111,4,2
E07000212,246,24.5,149,246,172,100.26496727365166,156,5,3
E07000213,224,125.5,245,302,172,154.1471872711952,270,9,5
E07000214,155,125.5,143,182,172,76.62988700671933,101,4,2
E07000215,158,125.5,54,42,172,51.71609071197153,37,2,1
E07000216,247,24.5,40,42,172,59.10657017787544,58,2,1
E07000217,148,24.5,135,42,172,49.08349723275888,29,1,1
E07000218,214,260,168,201,194,123.9966260414452,204,7,4
E07000219,202,260,311,280,194,208.64288693066078,305,10,5
E07000220,192,125.5,154,192,194,89.27639251804169,131,5,3
E07000221,151,125.5,42,42,194,53.409865846209485,42,2,1
E07000222,173,125.5,72,42,194,59.209569342492486,59,2,1
E07000223,142,125.5,242,240,220,114.89462007607293,190,7,4
E07000224,215,125.5,176,205,220,104.73583200676444,169,6,3
E07000225,231,125.5,30,42,220,72.31455296214426,90,3,2
E07000226,183,125.5,285,298,220,167.7551575549217,282,9,5
E07000227,171,24.5,75,42,220,54.86818016027821,46,2,1
E07000228,242,24.5,101,120,220,79.70107340138199,106,4,2
E07000229,172,125.5,220,103,220,90.72261351209494,137,5,3
E07000234,166,125.5,175,146,291.5,114.62901944770499,189,6,3
E07000235,194,125.5,27,42,291.5,92.39778615991216,139,5,3
E07000236,199,260,286,312,291.5,247.57552772219464,313,10,5
E07000237,280,125.5,148,184,291.5,146.88368404097932,259,9,5
E07000238,219,125.5,67,93,291.5,105.43569738555533,171,6,3
E07000239,245,260,150,42,291.5,143.39752872918584,249,8,4
E07000240,273,24.5,78,42,98.5,63.16333051309817,72,3,2
E07000241,230,125.5,182,155,98.5,82.82836853142277,112,4,2
E07000242,216,125.5,64,112,98.5,60.122694910892704,61,2,1
E07000243,233,125.5,300,306,98.5,182.03138880338466,289,10,5
E07000244,314,260,50,175,313,231.8549582703016,311,10,5
E07000245,315,260,124,217,313,250.4484197650346,314,10,5
E07000246,313,125.5,55,42,259.5,141.07150754454324,242,8,4
E08000001,64,260,272,248,59.5,124.8197251016164,205,7,4
E08000002,91,125.5,209,193,59.5,68.74637109758766,80,3,2
E08000003,41,125.5,214,170,59.5,61.47672505378513,64,3,2
E08000004,44,260,298,187,59.5,126.46844972386829,210,7,4
E08000005,30,260,287,224,59.5,123.81318045490208,203,7,4
E08000006,14,125.5,190,188,59.5,57.62797902504922,53,2,1
E08000007,60,24.5,243,104,59.5,52.44435711896791,40,2,1
