LAD19CD,LAD19NM,FRA19CD,FRA19NM,Fire and Rescue response time (three-year average)
E06000022,Bath and North East Somerset,E31000001,Avon,1899-12-31T00:08:04Z
E06000023,"Bristol, City of",E31000001,Avon,1899-12-31T00:08:04Z
E06000024,North Somerset,E31000001,Avon,1899-12-31T00:08:04Z
E06000025,South Gloucestershire,E31000001,Avon,1899-12-31T00:08:04Z
E06000032,Luton,E31000002,Bedfordshire,1899-12-31T00:07:57Z
E06000055,Bedford,E31000002,Bedfordshire,1899-12-31T00:07:57Z
E06000056,Central Bedfordshire,E31000002,Bedfordshire,1899-12-31T00:07:57Z
E06000036,Bracknell Forest,E31000003,Royal Berkshire,1899-12-31T00:07:57Z
E06000037,West Berkshire,E31000003,Royal Berkshire,1899-12-31T00:07:57Z
E06000038,Reading,E31000003,Royal Berkshire,1899-12-31T00:07:57Z
E06000039,Slough,E31000003,Royal Berkshire,1899-12-31T00:07:57Z
E06000040,Windsor and Maidenhead,E31000003,Royal Berkshire,1899-12-31T00:07:57Z
E06000041,Wokingham,E31000003,Royal Berkshire,1899-12-31T00:07:57Z
E06000042,Milton Keynes,E31000004,Buckinghamshire & Milton Keynes,1899-12-31T00:09:19Z
E07000004,Aylesbury Vale,E31000004,Buckinghamshire & Milton Keynes,1899-12-31T00:09:19Z
E07000005,Chiltern,E31000004,Buckinghamshire & Milton Keynes,1899-12-31T00:09:19Z
E07000006,South Bucks,E31000004,Buckinghamshire & Milton Keynes,1899-12-31T00:09:19Z
E07000007,Wycombe,E31000004,Buckinghamshire & Milton Keynes,1899-12-31T00:09:19Z
E06000031,Peterborough,E31000005,Cambridgeshire,1899-12-31T00:09:30Z
E07000008,Cambridge,E31000005,Cambridgeshire,1899-12-31T00:09:30Z
E07000009,East Cambridgeshire,E31000005,Cambridgeshire,1899-12-31T00:09:30Z
E07000010,Fenland,E31000005,Cambridgeshire,1899-12-31T00:09:30Z
E07000011,Huntingdonshire,E31000005,Cambridgeshire,1899-12-31T00:09:30Z
E07000012,South Cambridgeshire,E31000005,Cambridgeshire,1899-12-31T00:09:30Z
E06000006,Halton,E31000006,Cheshire,1899-12-31T00:08:33Z
E06000007,Warrington,E31000006,Cheshire,1899-12-31T00:08:33Z
E06000049,Cheshire East,E31000006,Cheshire,1899-12-31T00:08:33Z
E06000050,Cheshire West and Chester,E31000006,Cheshire,1899-12-31T00:08:33Z
E06000001,Hartlepool,E31000007,Cleveland,1899-12-31T00:05:46Z
E06000002,Middlesbrough,E31000007,Cleveland,1899-12-31T00:05:46Z
E06000003,Redcar and Cleveland,E31000007,Cleveland,1899-12-31T00:05:46Z
E06000004,Stockton-on-Tees,E31000007,Cleveland,1899-12-31T00:05:46Z
E06000052,Cornwall,E31000008,Cornwall,1899-12-31T00:10:32Z
E07000026,Allerdale,E31000009,Cumbria,1899-12-31T00:09:11Z
E07000027,Barrow-in-Furness,E31000009,Cumbria,1899-12-31T00:09:11Z
E07000028,Carlisle,E31000009,Cumbria,1899-12-31T00:09:11Z
E07000029,Copeland,E31000009,Cumbria,1899-12-31T00:09:11Z
E07000030,Eden,E31000009,Cumbria,1899-12-31T00:09:11Z
E07000031,South Lakeland,E31000009,Cumbria,1899-12-31T00:09:11Z
E06000015,Derby,E31000010,Derbyshire,1899-12-31T00:08:34Z
E07000032,Amber Valley,E31000010,Derbyshire,1899-12-31T00:08:34Z
E07000033,Bolsover,E31000010,Derbyshire,1899-12-31T00:08:34Z
E07000034,Chesterfield,E31000010,Derbyshire,1899-12-31T00:08:34Z
E07000035,Derbyshire Dales,E31000010,Derbyshire,1899-12-31T00:08:34Z
E07000036,Erewash,E31000010,Derbyshire,1899-12-31T00:08:34Z
E07000037,High Peak,E31000010,Derbyshire,1899-12-31T00:08:34Z
E07000038,North East Derbyshire,E31000010,Derbyshire,1899-12-31T00:08:34Z
E07000039,South Derbyshire,E31000010,Derbyshire,1899-12-31T00:08:34Z
E06000026,Plymouth,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E06000027,Torbay,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000040,East Devon,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000041,Exeter,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000042,Mid Devon,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000043,North Devon,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000044,South Hams,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000045,Teignbridge,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000046,Torridge,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000047,West Devon,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000187,Mendip,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000188,Sedgemoor,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000189,South Somerset,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E07000246,Somerset West and Taunton,E31000011,Devon & Somerset,1899-12-31T00:09:08Z
E06000005,Darlington,E31000013,County Durham and Darlington,1899-12-31T00:07:50Z
E06000047,County Durham,E31000013,County Durham and Darlington,1899-12-31T00:07:50Z
E06000043,Brighton and Hove,E31000014,East Sussex,1899-12-31T00:07:15Z
E07000061,Eastbourne,E31000014,East Sussex,1899-12-31T00:07:15Z
E07000062,Hastings,E31000014,East Sussex,1899-12-31T00:07:15Z
