LAD19CD,Mean waiting list size
E06000001,6865.791666666667
E06000002,8408
E06000003,5402.083333333333
E06000004,6831.375
E06000005,6831.375
E06000006,5255.777777777777
E06000007,8465.916666666666
E06000008,6240.055555555556
E06000009,5000
E06000010,9082.5
E06000011,10361.458333333334
E06000012,8800.277777777777
E06000013,8870.833333333334
E06000014,7088.375
E06000015,14613.666666666666
E06000016,10549.4
E06000017,17254.5
E06000018,15433.416666666666
E06000019,5134.722222222223
E06000020,5882.166666666667
E06000021,16914.833333333332
E06000022,6473.25
E06000023,11406.555555555555
E06000024,10973.333333333334
E06000025,9433.233333333334
E06000026,9092.875
E06000027,5175.25
E06000030,7753.944444444444
E06000031,9691.733333333334
E06000032,13744
E06000033,11479.888888888889
E06000034,18172.333333333332
E06000035,7342
E06000036,4178.166666666667
E06000037,8640.75
E06000038,7175.666666666667
E06000039,11638.25
E06000040,6831.733333333334
E06000041,4178.166666666667
E06000042,10259.666666666666
E06000043,6636.055555555556
E06000044,5869
E06000045,7456.166666666667
E06000047,6661.866666666667
E06000049,5302.708333333333
E06000050,4773.375
E06000051,4067.6666666666665
E06000052,5794.791666666667
E06000053,7145.833333333333
E06000054,6671.111111111111
E06000057,8261.611111111111
E06000058,4507.333333333333
E06000059,3293.366666666667
E06000060,6475.976190476191
E07000008,4906.388888888889
E07000009,4647.222222222223
E07000010,7115.571428571428
E07000011,13359.777777777777
E07000012,13359.777777777777
E07000026,10675.166666666666
E07000027,6340.166666666667
E07000028,6140.833333333333
E07000029,7968.833333333333
E07000030,10675.166666666666
E07000031,6340.166666666667
E07000034,3191.25
E07000035,11075
E07000036,17122.833333333332
E07000037,8675.8
E07000040,3805.1666666666665
E07000041,4436.708333333333
E07000042,3805.1666666666665
E07000043,5344.444444444444
E07000044,5175.25
E07000045,3805.1666666666665
E07000046,3805.1666666666665
E07000047,5204.611111111111
E07000061,6693.708333333333
E07000062,6693.708333333333
E07000063,4327.916666666667
E07000064,5418.055555555556
E07000065,5146.25
E07000066,15490.055555555555
E07000067,15786.666666666666
E07000068,16363.083333333334
E07000070,11479.888888888889
E07000071,11095.611111111111
E07000072,10527.166666666666
E07000073,14537.333333333334
E07000074,22600.666666666668
E07000075,22600.666666666668
E07000076,15786.666666666666
E07000077,13744
E07000078,6789.166666666667
E07000079,9203.541666666666
E07000080,6789.166666666667
E07000081,6789.166666666667
E07000082,6789.166666666667
E07000083,6789.166666666667
E07000084,4612.5
E07000085,5866.583333333333
E07000086,7322
E07000087,5667
E07000088,5667
E07000089,8519.055555555555
E07000090,5667
E07000091,4411.055555555556
E07000093,5866.583333333333
E07000094,5536.708333333333
E07000095,13358
E07000096,5037.833333333333
E07000098,8790.111111111111
E07000099,13744
E07000102,5037.833333333333
E07000103,12243.25
E07000105,7342
E07000106,4897.416666666667
E07000107,6125.583333333333
E07000108,4897.416666666667
E07000109,6117.8
E07000110,7200.555555555556
E07000111,4102.7
E07000112,6381.5
E07000113,5251.633333333333
E07000114,6506.944444444444
E07000115,68.83333333333333
E07000116,5017.083333333333
E07000117,6732.166666666667
E07000118,7258.833333333333
E07000119,7258.833333333333
E07000120,8464.333333333334
E07000121,5670.083333333333
E07000122,8464.333333333334
E07000123,7258.833333333333
