lad_code,overall_score,overall_rank,overall_quantiles,individual_domain_score,individual_domain_rank,individual_domain_quantiles,community_domain_score,community_domain_rank,community_domain_quantiles,heat_hazard_quantiles,fire_quantiles,flood_quantiles
E06000001,95.99082782838377,292,5,2.9723748183105827,245,4,2.8675044132276772,291,5,5,4,2
E06000002,53.18017385595253,205,4,0.3389827682100909,167,3,1.4310291367043848,247,4,4,5,2
E06000003,56.426702165842244,219,4,3.9938013652059516,266,5,-0.2435648063991267,135,3,3,1,2
E06000004,60.503403735487154,231,4,0.3963850379391244,170,3,1.8792279724530838,264,5,4,1,2
E06000005,50.885227937192255,198,4,0.9085927423626171,192,4,0.9647636869064978,225,4,5,2,2
E06000006,104.99756796223782,300,5,0.35840626843287204,169,3,5.257349335214799,306,5,4,2,1
E06000007,49.198563117005705,190,4,-1.3315107944668476,112,2,1.5755307896432957,256,5,5,2,4
E06000008,27.607635198451618,108,2,0.21225909959259087,165,3,-0.5355266307883714,115,2,4,5,2
E06000009,50.757994993708195,194,4,2.451216058093232,230,4,0.4170301903024886,184,3,5,5,1
E06000010,45.956815419529526,178,3,2.6253622662486222,234,4,-0.11350864655984061,146,3,4,5,5
E06000011,39.154992844428385,147,3,2.944785458141973,244,4,-1.6558755863670689,56,1,2,1,5
E06000012,56.144389418265234,218,4,3.5542532671931744,258,5,0.003555726327551429,159,3,1,4,5
E06000013,63.19632297075126,244,4,0.10581072909445283,161,3,2.2202268695878953,272,5,1,2,3
E06000014,14.800002149494942,49,1,-2.83230916533212,74,2,-0.7114013098145293,99,2,4,3,4
E06000015,23.496835663477377,87,2,-0.20333019638702388,153,3,-0.7650974921330689,94,2,4,4,1
E06000016,20.280459086760686,76,2,-0.08064002952832011,158,3,-1.6730057656698507,53,1,5,4,2
E06000017,36.43183131960656,134,3,2.054075557180006,221,4,-0.749974507547617,96,2,1,1,5
E06000018,22.93241047390817,83,2,0.5869427714295643,180,3,-2.063658322889009,43,1,5,5,2
E06000019,87.57115175317593,286,5,7.704228035445764,305,5,-2.0234452304290023,44,1,3,2,5
E06000020,46.72467166591099,180,3,2.258389935948199,225,4,0.09381240797536175,168,3,3,4,2
E06000021,84.93003762437155,283,5,5.8717654949510605,293,5,0.4869845402944303,192,4,4,5,1
E06000022,12.375822226162498,42,1,-2.0163226755835093,91,2,-1.6187236670021685,57,1,3,2,3
E06000023,10.597813198117533,36,1,-1.3268742056353355,113,2,-3.800835252365821,6,1,5,5,2
E06000024,25.697022281146914,100,2,0.90589830758784,191,4,-1.6986469562127342,52,1,4,3,5
E06000025,21.968320045335204,79,2,-3.2358809552114027,65,2,0.020662453470873476,162,3,4,1,3
E06000026,42.657603173195895,166,3,1.9390645276786738,216,4,-0.02419815088050359,156,3,5,4,2
E06000027,40.220222586174366,152,3,1.8322889102841873,211,4,-0.08630661944804108,147,3,4,5,3
E06000030,34.50710803070465,129,3,-0.30013704082568315,151,3,0.346661591238248,179,3,4,3,2
E06000031,19.48215519415435,72,2,-2.116299130745393,85,2,-0.32145828896644985,130,3,3,4,2
E06000032,43.6857539908277,170,3,-4.743092982495953,33,1,1.8366303054768114,261,5,3,5,1
E06000033,30.462210162801902,114,2,-0.86699811397151,132,3,0.16183101078190015,170,3,5,5,2
E06000034,61.46279641025404,236,4,-5.493112237852027,21,1,2.8522197673386533,290,5,4,3,4
E06000035,24.510771771952648,93,2,-3.515869734320758,59,1,0.3681114542596416,181,3,5,2,2
E06000036,44.16962475068946,172,3,-4.215328952690671,44,1,1.8118318727820466,260,5,3,1,2
E06000037,14.493596535983853,47,1,-1.4910621939011013,104,2,-1.4120522306771943,65,2,2,1,3
E06000038,12.576965577020133,43,1,-4.170667817782044,46,1,-0.6799631343883761,102,2,4,3,1
E06000039,63.00691138569386,242,4,-5.705391026646144,14,1,3.0662667342447354,292,5,5,3,3
E06000040,9.33722623408071,30,1,-4.847554580143913,31,1,-1.0264232312320491,83,2,3,2,4
E06000041,10.297245667704395,34,1,-5.133517869101182,25,1,-0.7497712640932657,97,2,2,1,2
E06000042,39.83020392452892,150,3,-3.1924914776884896,67,2,1.3365487422459357,243,4,2,3,2
